id,name,description,created_at,updated_at,slug,type_dmg,role_id,position
11,Chase,"A man who has lost his memory. Test subject Type. 0 that was born as a part of the human enhancement experiment of the empire. As the first type of the Project Evil Knights that were only made to kill, Chase was brought through a secretive contract with the empire to assassinate the sole successor to its throne, Scarlet. However, he went berserk for unknown reasons during a fight against Clause and Demia who were guarding Scarlet, and he abandoned his mission and left. He failed to kill Scarlet and disappeared, so the nobles who had commissioned the assassination found themselves in trouble. In the end, they hired another assassination group, the Laughing Mask, to have him killed. However, Scarlet already gave him a name, Chase, and let him stay by her side.",2020-06-07 13:46:30.328903,2020-06-16 09:09:56.030153,chase,Physical,2,Front
12,Chrisha,"Commander of Velchia, the proud Magic Knights of the Empire, and the Inquisitor working directly under the Emperor. It is her duty to eliminate corruption, rebels, and everything else that threatens the Empire. The people of the Empire praise her and think of her as a hero, a title she has never been eager to accept. As a daughter of the Van Nosenhill family, and as a soldier of the Empire, all that matters to her is fulfilling her duties.",2020-06-07 13:46:50.291933,2020-06-16 09:30:23.308252,chrisha,Magic,5,Back
13,Clause,"This upright and righteous man protects Orvel as one of its knights. Many people consider him a dependable defender of Orvel, but due to his lack of interest in wealth and success, his actual rank within the order has never been very high. He grew up together with Kasel and Frey in the same orphanage, and he loves his land as the home of those precious to him. He recently volunteered to join the expedition to investigate the King's Plains.",2020-06-07 13:47:17.331497,2020-06-16 08:57:18.591654,clause,Physical,1,Front
14,Cleo,"Cleo's earliest memory begins at the Tower of Sage. Raised by Dominiks the Great Sage as an orphan, she is both a genius wizard and a troublemaker. Her inability to control her own power has often led to trouble, including partial destruction of the Red Tower, her own residence. Despite this, her apparent immunity to the wrath of the Great Sage has caused her to be ostracized from her peers. Although this has led her to become selfish and inconsiderate, deep inside, she is still a kindhearted girl who fears abandonment by others.",2020-06-07 13:47:36.769534,2020-06-16 09:34:19.495504,cleo,Magic,6,Middle
15,Crow,"Code name: Hound. A bounty hunter known as the hound of hell. It is said that no one can escape from this former Imperial Navy officer once he targets them. The only consolation for criminals is that this man isn’t motivated by their bounties alone. While there are many theories, the most convincing one is that he’s after revenge. There are moments when this cold-hearted man seems to warm up, they say. It's when he pulls out an old pendant, which nobody has actually seen.",2020-06-07 13:47:59.25172,2020-06-16 09:30:36.247167,crow,Physical,5,Middle
16,Dakaris,"As the Empire expanded its territory, the long occupying natives resisted relentlessly. However, they all eventually fell before the Empire's brutal military force as well as overwhelming technology. Dakaris' homeland, the reclusive Lake Eretana, hidden deep inside the mountains, was no exception. The Empire let the natives stay in their land, but by no means were they treated with respect. To make things worse, the officers and nobles appointed to the area were mostly corrupted, making it even more difficult for the natives. The noble appointed to Lake Eretana was especially the worse. The atrocities grew worse each day, eventually leading to the deaths of young, and innocent Lizardmen. This lead Dakaris to gather his tribe to get back their freedom. 'To soothe the spirits of my ancestors, and to liberate my tribe - I will not hesitate, I will take back our rightful future with the Resistance.' Currently, he is a key member of the Resistance, leading them with his wisdom and insight.",2020-06-07 13:48:23.860813,2020-06-16 09:34:37.780726,dakaris,Magic,6,Back
17,Demia,"Ziltrion Si Demia. The commander of the Guardian Knights of Orvel. She is a mighty and dignified knight who wields a lance and a giant shield. It is said that penetrating her shield is next to impossible. As a knight commander, she cherishes her subordinates, and is prepared to perform any task in service of her land. Having felt the recent change of the atmosphere within the royal palace, she hopes to quickly appoint Clause as the next commander so that she may protect Scarlet from the aggression of the nobles.",2020-06-07 13:48:44.864507,2020-06-16 08:57:38.362647,demia,Physical,1,Front
18,Dimael,"This lonely Dark Elf swore vengeance against his own race for the death of his sister. Having barely survived his deployment to the Aegina Desert, the only thing waiting for him back home was the dreadful news that his sister had been killed as an Elven sacrifice. As he cried out her name in the darkness, he began succumbing to madness. Eventually, he swore an oath of hatred and vengeance against his own kind, the murderers of his sister.",2020-06-07 13:49:12.149107,2020-06-16 09:27:49.334197,dimael,Magic,4,Back
19,Dosarta,"A sentinel of Elidora Kingdom guarding the Tower of Challenge. According to the rules, those from a royal family in the position of guardian almost never get released from their duty before their service ends, but desperate times call for all sorts of exceptions. Dosarta was allowed to leave the Tower of Challenge to carry out missions if need be, and now she's determined to use the opportunity to make a lot of friends. How many friends could this Elven guardian make?",2020-06-07 13:49:28.872842,2020-06-16 08:58:01.600298,dosarta,Magic,1,Front
20,Epis,"This playful and bewitching succubus acts on her own whims. As expected of her Demon lineage, she is a hedonist driven by what she finds fun and enjoyable. Even during the Demon War, she chose traveling around on her own over joining the invasion. In her eyes, fighting alongside Kyle was interesting enough for her to even betray her own kind. When she later met Kasel, she gladly joined his party, knowing that she found another fun adventure for herself. When she finds attractive men, she sometimes visits them in their dreams.",2020-06-07 13:49:58.265301,2020-06-16 09:17:13.72506,epis,Magic,3,Front
21,Erze,"Born the second daughter of the ShadowHilt family, Erze also chose to become a vampire hunter after her beloved sister Seria. Erze's feeble frame kept her from learning how to fight with swords, but she managed to become known as a hunter with her talents in magic. One day she fell into a trap during an operation and was bitten by a mysterious vampire on the shoulder. Her weak constitution grew worse, and she suffered from frequent headaches and thirst every night. Erze knew what this meant and what would end up happening to her. She hid the bite and tried to find a cure on her own, distancing herself from her comrades in her efforts. Meanwhile, Seria was dispatched to Windland Snow Mountain to investigate the Vampire Princess that went missing 100 years ago. On the day her sister left... - Ahh, Seria... I cannot control it anymore... Erze quietly and secretly started slitting the throats of her comrades.",2020-06-07 13:50:31.413555,2020-06-16 09:17:27.899465,erze,Physical,3,Middle
22,Esker,"Born with the spirit of a wandering artist, Esker was a star magician of the Stardust, a wandering theater troupe, until he was framed by Prime Minister El Moriham of Orvelia and disappeared. Just when everyone started forgetting about him, he came out to the world as one of the most dangerous gamblers in the secret gambling world. 'The Illusion Gambler.' That was what his challengers called him, trembling in fear. The gamblers that played with him all described him in a similar manner. As soon as they faced Esker's unique laughter, his soft voice, and his empty eyes, they all felt nauseated by the suspicion that the man in the front was reading their every move.",2020-06-07 13:50:58.161534,2020-06-16 09:34:53.625225,esker,Magic,6,Back
23,Jane,"She was once the princess of the fallen Republic of Gray. The Republic of Gray, wiped off the map by the Demon invaders during the Demon War, was the protector of countless secrets, including the ruins and technologies of an ancient civilization. Jane, too, lost her life to protect those secrets. Later, she was brought back to the world as an undead by Malduk, a high-ranking officer and a strategist of the Demon Army. She was given a new consciousness by a strange, dark magic. Now, she seeks to go on a journey to find her past self and her lost memories.",2020-06-07 13:51:23.194768,2020-06-16 09:03:30.886024,jane,Magic,1,Front
24,Juno,"She's an ordinary young lady from the town, but her culinary skills are Orvel's finest. From the plain, wholesome food of the common people to the luxurious delicacies of the nobility, there isn't a dish she cannot cook. She once received an offer to work as the Royal Chef, but she refused it and opened an inn to let everyone enjoy her dishes. Her inn soon became one of the most famous attractions in Orvel, visited by countless adventurers. Now people call her inn 'the Hero's Inn,' and she's enjoying her life among the 'heroes.'",2020-06-07 14:33:16.030885,2020-06-16 09:39:03.14791,juno,Physical,7,Middle
25,Kara,"A human-type Golem that was made with ancient technomagic, but her appearance is just like that of a human girl. But she's an ancient weapon that has no feelings and was just made to be a tool. She was asleep in the ruins of an ancient civilization, deep underground in Galluah Plains. She was excavated by Annette, a technomagi in the Kingdom of Orvel, during her research and awakened in a new era with a new civilization...",2020-06-07 14:33:46.057975,2020-06-16 09:31:04.267861,kara,Magic,5,Middle
26,Kasel,"A squire of the Kingdom of Orvelia. Traumatized by witnessing the deaths of his parents at the hands of the Demons invading the village, and later, the assassination of his sword teacher, he fears the idea of anyone around him dying. His past has driven him to seek out his sworn brother from his early years in the orphanage, Clause, who joined an expedition, but never returned.",2020-06-07 14:34:10.563344,2020-06-16 09:14:12.250065,kasel,Physical,2,Front
27,Kaulah,"This great Orc shaman wields the power of lightning. He is the chieftain of the Skywind Tribe and a respected elder of the Orc Alliance. He has trained countless Orc shamans and is considered their spiritual leader. He is also one of the few shamans who has clairvoyant dreams, and he is wise enough to properly interpret them.",2020-06-07 14:34:38.171917,2020-06-16 09:39:15.697872,kaulah,Magic,7,Back
28,Kibera,"Kibera is a cheerful wielder of demonic swords who hails from the East. Other than the fact that he's from the East, the only other thing known about Kibera is that he likes cheap food despite his noble and dashing appearance, he's a skilled swordsman, and that he is abnormally obsessed with demonic swords. Anyone with common sense would stay away from demonic swords as they are afraid of the curse and tragedies the 'evil power within these swords could bring upon. However, unphased by this so-called evil power, Kibera rather casually picks up these cursed demonic swords with no hesitation. Whenever Kibera comes across a fine demonic sword, his eyes blaze with desire as if he's declaring that he will seize the sword no matter what, This abnormal possession of trying to acquire a sword, even risking his very own life with no regard to gains or loss, has made people avoid him altogether because it feels like he's a possessed spirit of a sword.",2020-06-07 14:35:04.445065,2020-06-16 09:25:40.660285,kibera,Magic,3,Front
29,Kirze,"Few years ago, small towns all over Orbis were attacked by the undead army of Malduk. They were seeking out albino kids, ones who were born with unique and powerful magic. Malduk's subordinates captured these children, and injected them with crimson arcane crystals, a powerful energy source for Demons. The goal of this experiment was to transform them into crimson arcane crystal living mines - that would mass produce crimson arcane crystals until the moment they die. Pain from the inhumane experiment took its toll on the children and one by one, losing their lives. Children who weren't compatible with the crimson arcane crystal were petrified and crumbled into dust. The remaining children who witnessed this horror were shaking with fear, and hopelessly awaited their death. But the experiment finally came to a success. Crimson arcane crystals resonated with Kirze, and she absorbed all the crystals in the area. As a result, she gained vast amount of mana and gained ability to manipulate crimson arcane crystals at her will. With her new found power, Kirze defeated Malduk's subordinates and fled from the lab with the surviving children. In the hopes of preventing further casualties like herself, Kirze took off and began to hunt rouge demons that crossed her path...",2020-06-07 14:35:36.133368,2020-06-16 09:14:31.889769,kirze,Magic,2,Front
30,Laias,"This beautiful and gentle priestess of water is actually a morphed blue dragon. In the distant past, she was worshipped by certain desert tribes. However, she has been sleeping for ages for some unknown reason. She can command water to turn lands fertile, and she always used her powers to help her people. In return, the humans built the golden Shrine of Flow in her honor under the lake in the oasis. A flow of evil energy in the desert has awakened her from her sleep, and she has once again begun using her powers to help those around her.",2020-06-07 14:35:56.605523,2020-06-16 09:39:35.063575,laias,Magic,7,Back
31,Lakrak,"This eccentric albino Goblin enjoys developing powerful weapons more than anything else. Having been harassed and ostracized by other Goblins due to his skin color, he feels no compassion toward his kind. He would gladly shoot, blow up, and smash even a fellow Goblin to test his weapons. However, he also expresses his gratitude to those who help him, and this is how he became Roi's friend. Unfortunately, he is terrible at remembering faces, so he often tries to shoot Roi before he recalls who he is.",2020-06-07 14:36:16.680901,2020-06-16 09:31:22.830376,lakrak,Physical,5,Middle
32,Laudia,"Trovatias are a nomadic tribe of Aegina Desert who inherited the tradition and religion of the ancient desert kingdom. Laudia is the daughter of the tribe leader and serves the Priestess of Water, Laias. She also looks after the tribe on behalf of her old father. When she prayed for help, God Dragon Laias and her sister Lilia woke up from their long sleep and led her and her tribe into the shrine, protecting them. Ever since, Laudia has been defeating demons in the desert with Zafir, the leader of the Mauhata tribe of Desert Warriors.",2020-06-07 14:36:38.235339,2020-06-16 09:25:57.670166,laudia,Magic,3,Front
33,Lavril,"A very unconventional ghost. Those who see her may think of her as a ghost of an ordinary girl, but she's not a single spectral entity. Rather, she's an amalgamation of countless souls. Filled with tremendous spectral energy, she is powerful enough to make souls tremble and cast curses at her will....That is, if she was an ordinary ghost. Although she's a ghost born from an amalgamation of young souls that died in the Demon War 100 years ago, the souls of children are too pure and innocent to bear any grudge. Lavril, having been born from them, came into being with a pure and kind mind. Nonetheless, she's still a ghost. Her nature won't change. Even though she's currently a kind and poor girl, a child is like a piece of blank paper, in which a single drop of ink can easily change its color. Without any proper guidance, she can be a threat.",2020-06-07 14:37:08.81023,2020-06-16 09:39:49.231518,lavril,Magic,7,Back
34,Leo,"In the royal palace of Orvel, there exists a library that is said to be infinite in space. Leo is a Gnome who has been protecting this library for a very long time. Having memorized every book in the library, he is the most knowledgeable person in the entire palace, and many visit the library, seeking his wisdom. However, he still seems to have difficulty interacting with others.",2020-06-07 14:37:29.623217,2020-06-16 09:40:03.516028,leo,Physical,7,Back
35,Lewisia,"A Vampire princess who joined Kyle in his war against the Demons 100 years ago. She is a pure-blood Vampire who has lived for over 500 years. Often considered the Queen of Vampires, she is nigh immortal. The tremendous expenditure of her power during the war against the Demons has taken its toll, and the immortal princess now assumes a child-like form. After the war, she blended into Human society and watched the world change over the next 100 years while slowly restoring her power. When the Demons reappeared and the Holy Sword awoke, Lewisia sensed the sudden shifts of energy. Soon after, she left on a journey to find and observe the newly chosen warrior.",2020-06-07 14:37:48.961849,2020-06-16 09:35:15.904983,lewisia,Magic,6,Back
36,Lilia,"A God Dragon of the Oasis and a sister of the Priestess of Water. Laias. She is still a young Blue Dragon who loves her sister who is much older than her. When Laias fell into a deep sleep after exhausting her powers in the battle 100 years ago, Lilia defended the Shrine of Flow on her own. It was when she heard the children of the desert making desperate prayers that she finally woke up the Priestess of Water to protect them. Unlike her mild and thoughtful sister, she is somewhat strict, and the way she controls the power of flow and water is more aggressive, too. She feels the need to protect her beautiful sister against flirting, unworthy men.",2020-06-07 14:38:15.701455,2020-06-16 09:35:30.181843,lilia,Physical,6,Back
37,Loman,"If one were to choose the most trustworthy among the Guardian Knights, Loman's name would be one of the first to come to mind. The royal family trusts him so much that they appointed Loman as the Gatekeeper of the Orvel Monarchy. He is usually a gentle and friendly man, but becomes uncompromising when anyone tries to approach his king without royal permission. No one who has seen his halberd, the one bestowed by Scarlet, split the air has ever returned alive. While off duty, however, he is a sensitive man who enjoys wood carving as a hobby.",2020-06-07 14:38:32.90653,2020-06-16 09:03:52.556122,loman,Physical,1,Front
38,Lorraine,"The Great Sage of Elidora is the wisest of the Druids. As one of the heroes who fought against the Demon invaders 100 years ago, she is often considered the wisest person on the entire Orbis Continent. She has taught and trained countless Elves, and possesses keen insight and mystic powers befitting her age. It is said that even the current king of Elidora as well as his children were all once her students. Having recently sensed a strange disturbance from the Elidora Forest, she is preparing the path for the wielder of the Holy Sword.",2020-06-07 14:38:56.081422,2020-06-16 09:35:44.675893,lorraine,Magic,6,Middle
39,Lucias,"Lucias was a member of Lua's Holy Knights before awakening as the Saint of Blessings. Under the command of the Living Legend, Ricardo, he protected Orvel and neighboring towns from Demons. However, stigmata started to appear on his body when he was 19, and by the call of Lua, the holy knight became the Saint of Blessings. His mission is to travel around the world and bring the light of Lua to those in need. He stayed true to his duties, wandering the world to share blessings. Now, he holds a weapon in his hand again to defeat the power of darkness that has been growing in strength over the past 100 years.",2020-06-07 14:39:26.799579,2020-06-16 09:40:20.707942,licias,Physical,7,Middle
40,Luna,"Lulus, very rarely sighted and often considered mythical, are a race of animal hybrids. They live in an extremely cold region, and are very fearful of contacting the outside world. One day, a Lulu child was born with the exact opposite personality that is typical her race. That child is Luna. It's not that she was unhappy with the ways of her people. Nor did she have any grand purpose of experiencing the world outside. She was simply picking flowers, one step at a time. Another step to pick up some frozen branches for her slingshot. And another step to follow the scent of some sweet, red fruit. Before she knew it, she was outside, running toward a carrot field away from the mountain.",2020-06-07 14:39:45.406889,2020-06-16 09:28:06.927661,luna,Magic,4,Back
41,Maria,"Although she was a Holy Maiden of Lua in the past, she eventually fell into corruption. Now, this cynical, crow-commanding witch curses her former Goddess from the darkness. There was a time when she was a friend of Kyle and a heroine of the people. However, when Kyle disappeared, she hid herself from the world as well. She eventually came back as a fallen witch, threatening mankind as the spearhead of the Demon Army. These days, however, she appears to be plotting some scheme, not as a Demon commander, but completely on her own.",2020-06-07 14:40:05.951988,2020-06-16 09:36:00.774211,maria,Magic,6,Middle
42,May,"A girl who runs her own General Shop at the Orvel Castle. She is highly likable, and treats everyone with brightness and enthusiasm. Dreaming of one day she'll become the wealthiest merchant in Orvel, May usually hunts and gathers her own merchandise. Because of the effort she puts into acquiring her goods, her prices aren't exactly cheap, and people often criticize her for this. Currently, she is preparing to travel to Aegina Desert after hearing that someone recently discovered a treasure there.",2020-06-07 14:40:23.900438,2020-06-16 09:40:34.882295,may,Magic,7,Middle
43,Mediana,"A practitioner of the medical arts developed when priests were short in supply. She inherited her natural medical talent from her father, but her thirst for knowledge crossed the line when she began researching poison. As a result, she was excommunicated from medical society, but her enthusiasm for research was seemingly unaffected. However, her basic respect for life kept her from achieving any experimental results for her poison research. When the Demons appeared, she became overjoyed at finding rare and precious test subjects.",2020-06-07 14:41:11.376459,2020-06-16 09:40:51.048469,mediana,Physical,7,Back
44,Mirianne,"She is Sonia's maid and sister-like friend from the orphanage. When her village of Humans and Elves was attacked by the Demons, she was the only survivor. Ricardo found her and took her into his orphanage. For some unknown reason, she experienced explosive growth phase at the age of 6. Her body now resembles that of an 18-year-old, but she still has the mind of a child. She is pure and devotional to a fault. Perhaps these traits are related to the loss of her childhood memories.",2020-06-07 14:41:36.272165,2020-06-16 09:26:15.4611,mirianne,Magic,3,Middle
45,Miruru,"She once roamed the seas as the pirate empress, instilling fear in sailors' hearts. However, a cursed item has turned her into a child, and all her loyal allies and crew members soon left her. Not one to give up, she started again from the scratch, and now dreams of returning to her former glory. Unfortunately, the curse of childhood has made her way of thinking immature as well. Even so, she continues to chase her dream. Currently, she commands the second Miruru Pirates consisting of Goblins and Gnolls.",2020-06-07 14:41:57.91054,2020-06-16 09:31:40.605978,miruru,Physical,5,Middle
46,Mitra,"Known to some as the Song of the Silver Madness, he is incredibly insincere in everything he does. He shows absolutely no sense of responsibility in regard to those around him. Once he engages in a combat, though, he turns into an untouchable silver wolf that storms across the battlefield. Nothing is known about his past. One thing is certain: he does not distinguish between friend and foe once the madness of battle takes over him. Staying near him when he's in this state may be far more dangerous than holding onto a ticking time bomb.",2020-06-07 14:42:27.977652,2020-06-16 09:31:53.595543,mitra,Physical,5,Middle
47,Morrah,"The former commander of the Dark Dragon Knights, she's the most gallant demon knight of the Demon Army. Currently, for some unknown reason, she is following the witch Maria and assisting her work. Many find it strange that the former champion of the Demon Army, who slaughtered countless enemies and even devoured dragons, now works for a mere witch as her servant. Nevertheless, she continues to faithfully serve her master.",2020-06-07 14:42:52.463409,2020-06-16 09:06:05.474325,morrah,Magic,1,Front
48,Naila,"A stout and honorable warrior of the Harpies, the wielders of the power of wind. Her dignity as a Harpy warrior is more important to her than anything else in the world. She draws upon her willpower and desire to uphold her warrior's honor to bring down any enemy. Her skills are exceptional, even among her peers, and she is the ideal role model for younger Harpy warriors.",2020-06-07 14:43:12.312122,2020-06-16 09:14:49.573851,naila,Physical,2,Front
49,Neraxis,"Black dragons are notorious for being the most arrogant and ill-tempered out of all dragons. They suffered greatly from the Demon War 100 years ago. Armarta went mad, Ashen Nox robbed them, and Draconics started hunting down dragons. Neraxis was one of the few black dragon that survived that day, and he has been working and plotting to realize his revenge.",2020-06-07 14:43:36.403646,2020-06-16 09:06:18.972353,neraxis,Magic,1,Front
50,Nia,"An old legend has it that there was a demon that used humans as its test subjects for body modification. He cloned, fused, and modified numerous beast and human bodies with his magic. It was said that one of the test subjects that came to possess great power escaped the laboratory and created a tribe among humans. The leader of the tribe is known to have developed a mysterious ability called Demonic Eyes of Petrification. The demonic eyes, very similar to the cursed eyes of a rare beast Basilisk, are known to have the curse to turn everything they stared at into stones. Nia, the young leader of Krakashu Tribe, currently possesses these demonic eyes. This young beast, as swift as a leopard, is hunting down demons and demonic beasts to avenge her forefathers.",2020-06-07 14:43:57.151737,2020-06-16 09:26:32.199247,nia,Physical,3,Front
51,Nicky,"Chief Guard who manages the Orvel Stockade. In the past, she was once a warrior at the Orvel Arena, and a rival to Gladi. When Gladi began to spend more time running a shop than conquering the Arena, Nicky lost interest too and found another job. Somewhat skilled in training monsters, she applied to be the Stockade's Chief Guard, which is a dangerous yet well-paid job. While the inmates usually refrain from doing anything out of their fear for her, from time to time, they would lose all sense of reason and cause a scene. With each incident like that, her mace drew blood, leaving the inmates to cower in fear again.",2020-06-07 14:45:52.39959,2020-06-16 09:15:08.3252,nicky,Physical,2,Front
52,Nyx,"A mysterious dimension-crossing wizard with distinctly recognizable heterochromia. The perpetual smile on his face seems to come from the wisdom of someone who sees through the entire universe. He shows great interest in those with special abilities and enjoys testing them. His space teleportation ability seems to surpass the realm of mortals, and he can even travel across dimensions. It is unsure what his true motivation is, but it seems certain enough that he always intends to help others.",2020-06-07 14:46:11.081234,2020-06-16 09:36:13.360055,nyx,Physical,6,Nyx
53,Oddy,"He was a mechanic of the royal palace of Orvelia in the distant past. However, he was cursed by the mythical creature Redpur and turned into a Redpur himself. Ever since the transformation, he has been living for so long that he forgot his own age. When he was Human, he invented the first portable watch, but no one in Orvelia saw its true value. To give his invention the recognition it deserved, he set out to the empire. On his way, he was cursed by a group of Redpurs who mistook him for a poacher. The curse also affected his watch, giving it a magical power to control the time flow within a living body. Oddy's own time stopped as well.",2020-06-07 14:46:35.079937,2020-06-16 09:32:10.735351,oddy,Magic,5,Middle
54,Ophelia,"An astrologer traveling with a wandering troupe called 'Stardust.' As a member of the Witch Association, she is supposed to reside in a designated location and read the flow of fate as part of her practice. However, she is currently traveling in search of a man with a particular destiny she met in a dream. She believes that the man from her clairvoyant dream is destined to become the savior of the world. Her current priority is to find the man, and then stay at his side. If asked about her second goal... She blushes and loses all traces of her usual calmness telling about her future with the man of destiny.",2020-06-07 14:46:53.325056,2020-06-16 09:36:25.945119,ophelia,Magic,6,Back
55,Pansirone,"A girl that used to be a member of the Hound Unit. She shows no mercy even to those who surrendered and abandoned their weapons. She displays madness and wishes to burn everything in sight. As of right now, only Crow can control her madness. After the disbandment of the Hound Unit, she was reinstated as an officer at the Machine Division of the Empire and had been wandering from ruin to ruin, completing her assignments. She is infamous for not listening to her superiors or the system, making her known as a troublesome superior to other soldiers. The higher-ups regard her as a threat that may explode anytime. When it comes to her past endeavors, she becomes very protective. Thankfully, her colleagues from the Hound Unit do not try to pry into her past.",2020-06-07 14:47:31.265247,2020-06-16 09:33:07.323891,pansirone,Physical,5,Middle
