id,name,value,created_at,updated_at,role_id,stat_type,notice
41,M.Def,8792,2020-06-16 11:20:09.701088,2020-06-16 11:20:09.701088,2,base,
42,MAX HP,1384992,2020-06-16 11:20:24.022658,2020-06-16 11:20:24.022658,3,base,
43,ATK,24688,2020-06-16 11:20:30.503281,2020-06-16 11:20:30.503281,3,base,
44,P.Def,7816,2020-06-16 11:20:36.736973,2020-06-16 11:20:36.736973,3,base,
45,M.Def,6840,2020-06-16 11:20:42.062887,2020-06-16 11:20:42.062887,3,base,
46,MAX HP,1066728,2020-06-16 11:20:52.922375,2020-06-16 11:20:52.922375,4,base,
47,ATK,27864,2020-06-16 11:20:58.834135,2020-06-16 11:20:58.834135,4,base,
48,P.Def,5376,2020-06-16 11:21:05.412617,2020-06-16 11:21:05.412617,4,base,
49,M.Def,4392,2020-06-16 11:21:45.441109,2020-06-16 11:21:45.441109,4,base,
50,MAX HP,1157176,2020-06-16 11:21:58.303379,2020-06-16 11:21:58.303379,5,base,
51,ATK,25416,2020-06-16 11:22:04.544729,2020-06-16 11:22:04.544729,5,base,
52,P.Def,5376,2020-06-16 11:22:09.989639,2020-06-16 11:22:09.989639,5,base,
53,M.Def,4392,2020-06-16 11:22:15.087842,2020-06-16 11:22:15.087842,5,base,
54,MAX HP,985328,2020-06-16 11:22:24.726217,2020-06-16 11:22:24.726217,6,base,
55,ATK,29328,2020-06-16 11:22:29.97957,2020-06-16 11:22:29.97957,6,base,
56,P.Def,3904,2020-06-16 11:22:35.683488,2020-06-16 11:22:35.683488,6,base,
57,M.Def,5864,2020-06-16 11:22:41.255497,2020-06-16 11:22:41.255497,6,base,
58,MAX HP,1104864,2020-06-16 11:22:49.842465,2020-06-16 11:22:49.842465,7,base,
59,ATK,23216,2020-06-16 11:22:55.393983,2020-06-16 11:22:55.393983,7,base,
60,P.Def,4888,2020-06-16 11:23:01.112326,2020-06-16 11:23:01.112326,7,base,
61,M.Def,6104,2020-06-16 11:23:06.558466,2020-06-16 11:23:06.558466,7,base,
62,P.Def,9148,2020-07-21 14:42:11.447104,2020-07-21 14:42:11.447104,NULL,gear,
63,M.Def,9148,2020-07-21 14:45:21.244157,2020-07-21 14:45:21.244157,NULL,gear,
64,P.Def,6099,2020-07-21 14:45:36.096558,2020-07-21 14:45:36.096558,NULL,gear,
65,M.Def,3052,2020-07-21 14:46:02.832139,2020-07-21 14:46:02.832139,NULL,gear,
66,P.Def,3052,2020-07-21 14:46:17.007864,2020-07-21 14:46:17.007864,NULL,gear,
67,M.Def,6099,2020-07-21 14:46:32.68278,2020-07-21 14:46:32.68278,NULL,gear,
68,HP,407302,2020-07-21 14:47:02.570773,2020-07-21 14:47:02.570773,NULL,gear,
69,ATK,8860,2020-07-21 14:47:19.763967,2020-07-21 14:47:19.763967,NULL,gear,
70,M.Def,6377,2020-07-21 14:47:38.743914,2020-07-21 14:47:38.743914,NULL,gear,
71,P.Def,6377,2020-07-21 14:47:54.066342,2020-07-21 14:47:54.066342,NULL,gear,
72,HP,442512,2020-07-21 14:48:09.595237,2020-07-21 14:48:09.595237,NULL,gear,
73,P.Def,13625,2020-07-21 14:48:32.291481,2020-07-21 14:48:32.291481,NULL,gear,
74,M.Def,13625,2020-07-21 14:48:39.18595,2020-07-21 14:48:39.18595,NULL,gear,
75,P.Def,9091,2020-07-21 14:49:01.6004,2020-07-21 14:49:01.6004,NULL,gear,
76,M.Def,4547,2020-07-21 14:49:15.916756,2020-07-21 14:49:15.916756,NULL,gear,
77,P.Def,4547,2020-07-21 14:49:29.38033,2020-07-21 14:49:29.38033,NULL,gear,
78,M.Def,9091,2020-07-21 14:49:40.033139,2020-07-21 14:49:40.033139,NULL,gear,
79,HP,580102,2020-07-21 15:00:08.699213,2020-07-21 15:00:08.699213,NULL,gear,
80,ATK,12617,2020-07-21 15:00:25.671442,2020-07-21 15:00:25.671442,NULL,gear,
81,M.Def,9091,2020-07-21 15:00:41.759413,2020-07-21 15:00:41.759413,NULL,gear,
82,P.Def,9091,2020-07-21 15:00:57.290713,2020-07-21 15:00:57.290713,NULL,gear,
83,HP,608371,2020-07-21 15:01:22.673328,2020-07-21 15:01:22.673328,NULL,gear,
84,P.Def,17052,2020-07-21 15:03:50.751701,2020-07-21 15:03:50.751701,NULL,gear,
85,M.Def,17052,2020-07-21 15:03:58.1661,2020-07-21 15:03:58.1661,NULL,gear,
86,P.Def,11369,2020-07-21 15:04:12.379562,2020-07-21 15:04:12.379562,NULL,gear,
87,M.Def,5686,2020-07-21 15:04:24.24325,2020-07-21 15:04:24.24325,NULL,gear,
88,P.Def,5686,2020-07-21 15:04:39.908417,2020-07-21 15:04:39.908417,NULL,gear,
89,M.Def,11369,2020-07-21 15:04:56.941099,2020-07-21 15:04:56.941099,NULL,gear,
90,HP,726278,2020-07-21 15:05:12.894116,2020-07-21 15:05:12.894116,NULL,gear,
91,ATK,15801,2020-07-21 15:05:29.326214,2020-07-21 15:05:29.326214,NULL,gear,
92,M.Def,11369,2020-07-21 15:05:46.326701,2020-07-21 15:05:46.326701,NULL,gear,
93,P.Def,11369,2020-07-21 15:05:57.691439,2020-07-21 15:05:57.691439,NULL,gear,
94,HP,726278,2020-07-21 15:06:26.370416,2020-07-21 15:06:26.370416,NULL,gear,
95,ATK,32730,2020-07-21 15:06:54.24312,2020-07-21 15:07:13.488434,1,gear,
96,ATK,45106,2020-07-21 15:08:11.18133,2020-07-21 15:08:11.18133,1,gear,
97,ATK,37010,2020-07-21 15:08:27.306255,2020-07-21 15:08:27.306255,2,gear,
98,ATK,51120,2020-07-21 15:08:37.78358,2020-07-21 15:08:37.78358,2,gear,
99,ATK,40711,2020-07-21 15:08:52.151125,2020-07-21 15:08:52.151125,3,gear,
100,ATK,56209,2020-07-21 15:09:02.953773,2020-07-21 15:09:02.953773,3,gear,
101,ATK,45915,2020-07-21 15:09:16.698008,2020-07-21 15:09:16.698008,4,gear,
102,ATK,63264,2020-07-21 15:09:27.609509,2020-07-21 15:09:27.609509,4,gear,
103,ATK,41867,2020-07-21 15:10:46.007971,2020-07-21 15:10:46.007971,5,gear,
104,ATK,57712,2020-07-21 15:11:00.275544,2020-07-21 15:11:00.275544,5,gear,
105,ATK,42793,2020-07-21 15:11:10.332301,2020-07-21 15:11:10.332301,6,gear,
106,ATK,58985,2020-07-21 15:11:18.225435,2020-07-21 15:11:18.225435,6,gear,
107,ATK,42793,2020-07-21 15:11:27.940157,2020-07-21 15:11:27.940157,7,gear,
108,ATK,58985,2020-07-21 15:11:39.445123,2020-07-21 15:11:39.445123,7,gear,
109,HP,1596066,2020-07-21 15:11:51.05559,2020-07-21 15:11:56.919622,NULL,gear,
110,Crit DMG,0,2020-07-21 15:11:51.05560,2020-07-21 15:11:56.919623,1,class,2
111,Crit DMG,0,2020-07-21 15:11:51.05561,2020-07-21 15:11:56.919624,2,class,2
112,Crit DMG,0,2020-07-21 15:11:51.05562,2020-07-21 15:11:56.919625,4,class,2
113,Crit DMG,0,2020-07-21 15:11:51.05563,2020-07-21 15:11:56.919626,6,class,2
114,Crit DMG,0,2020-07-21 15:11:51.05564,2020-07-21 15:11:56.919627,7,class,2
115,Penetration,0,2020-07-21 15:11:51.05565,2020-07-21 15:11:56.919628,1,class,3
116,Penetration,0,2020-07-21 15:11:51.05566,2020-07-21 15:11:56.919629,3,class,3
117,Penetration,0,2020-07-21 15:11:51.05567,2020-07-21 15:11:56.919630,7,class,3
118,ACC,0,2020-07-21 15:11:51.05568,2020-07-21 15:11:56.919631,1,class,4
119,P.Dodge,0,2020-07-21 15:11:51.05569,2020-07-21 15:11:56.919632,1,class,5
120,M.Dodge,0,2020-07-21 15:11:51.05570,2020-07-21 15:11:56.919633,1,class,6
121,P.Dodge,0,2020-07-21 15:11:51.05571,2020-07-21 15:11:56.919634,4,class,5
122,M.Dodge,0,2020-07-21 15:11:51.05572,2020-07-21 15:11:56.919635,4,class,6
123,P.Dodge,0,2020-07-21 15:11:51.05573,2020-07-21 15:11:56.919636,5,class,5
124,M.Dodge,0,2020-07-21 15:11:51.05574,2020-07-21 15:11:56.919637,5,class,6
125,P.Dodge,0,2020-07-21 15:11:51.05575,2020-07-21 15:11:56.919638,6,class,5
126,P.Dodge,0,2020-07-21 15:11:51.05576,2020-07-21 15:11:56.919639,7,class,5
127,M.Dodge,0,2020-07-21 15:11:51.05577,2020-07-21 15:11:56.919640,7,class,6
128,P.Block,0,2020-07-21 15:11:51.05578,2020-07-21 15:11:56.919641,2,class,7
129,M.Block,0,2020-07-21 15:11:51.05579,2020-07-21 15:11:56.919642,2,class,8
130,P.Block,0,2020-07-21 15:11:51.05580,2020-07-21 15:11:56.919643,3,class,7
131,M.Block,0,2020-07-21 15:11:51.05581,2020-07-21 15:11:56.919644,3,class,8
132,P.Block,0,2020-07-21 15:11:51.05582,2020-07-21 15:11:56.919645,4,class,7
133,M.Block,0,2020-07-21 15:11:51.05583,2020-07-21 15:11:56.919646,4,class,8
134,P.Block,0,2020-07-21 15:11:51.05584,2020-07-21 15:11:56.919647,5,class,7
135,M.Block,0,2020-07-21 15:11:51.05585,2020-07-21 15:11:56.919648,5,class,8
136,P.Block,0,2020-07-21 15:11:51.05586,2020-07-21 15:11:56.919649,6,class,7
137,P.Block,0,2020-07-21 15:11:51.05587,2020-07-21 15:11:56.919650,7,class,7
138,P.Block DEF,0,2020-07-21 15:11:51.05588,2020-07-21 15:11:56.919651,1,class,9
139,M.Block DEF,0,2020-07-21 15:11:51.05589,2020-07-21 15:11:56.919652,1,class,10
140,P.Block DEF,0,2020-07-21 15:11:51.05590,2020-07-21 15:11:56.919653,2,class,9
141,M.Block DEF,0,2020-07-21 15:11:51.05591,2020-07-21 15:11:56.919654,2,class,10
142,P.Block DEF,0,2020-07-21 15:11:51.05592,2020-07-21 15:11:56.919655,3,class,9
143,M.Block DEF,0,2020-07-21 15:11:51.05593,2020-07-21 15:11:56.919656,3,class,10
144,P.Block DEF,0,2020-07-21 15:11:51.05594,2020-07-21 15:11:56.919657,4,class,9
145,M.Block DEF,0,2020-07-21 15:11:51.05595,2020-07-21 15:11:56.919658,4,class,10
146,P.Block DEF,0,2020-07-21 15:11:51.05596,2020-07-21 15:11:56.919659,5,class,9
147,M.Block DEF,0,2020-07-21 15:11:51.05597,2020-07-21 15:11:56.919660,5,class,10
148,P.Block DEF,0,2020-07-21 15:11:51.05598,2020-07-21 15:11:56.919661,6,class,9
149,M.Block DEF,0,2020-07-21 15:11:51.05599,2020-07-21 15:11:56.919662,6,class,10
150,P.Block DEF,0,2020-07-21 15:11:51.05600,2020-07-21 15:11:56.919663,7,class,9
151,P.Tough,0,2020-07-21 15:11:51.05601,2020-07-21 15:11:56.919664,2,class,11
152,M.Tough,0,2020-07-21 15:11:51.05602,2020-07-21 15:11:56.919665,2,class,12
153,P.Tough,0,2020-07-21 15:11:51.05603,2020-07-21 15:11:56.919666,3,class,11
154,M.Tough,0,2020-07-21 15:11:51.05604,2020-07-21 15:11:56.919667,3,class,12
155,P.Tough,0,2020-07-21 15:11:51.05605,2020-07-21 15:11:56.919668,4,class,11
156,M.Tough,0,2020-07-21 15:11:51.05606,2020-07-21 15:11:56.919669,4,class,12
157,P.Tough,0,2020-07-21 15:11:51.05607,2020-07-21 15:11:56.919670,5,class,11
158,M.Tough,0,2020-07-21 15:11:51.05608,2020-07-21 15:11:56.919671,5,class,12
159,P.Tough,0,2020-07-21 15:11:51.05609,2020-07-21 15:11:56.919672,6,class,11
160,M.Tough,0,2020-07-21 15:11:51.05610,2020-07-21 15:11:56.919673,6,class,12
161,P.Tough,0,2020-07-21 15:11:51.05611,2020-07-21 15:11:56.919674,7,class,11
162,Recovery,0,2020-07-21 15:11:51.05526,2020-07-21 15:11:56.919589,1,class,13
163,Recovery,0,2020-07-21 15:11:51.05527,2020-07-21 15:11:56.919590,2,class,13
164,Recovery,0,2020-07-21 15:11:51.05528,2020-07-21 15:11:56.919591,3,class,13
165,Recovery,0,2020-07-21 15:11:51.05529,2020-07-21 15:11:56.919592,4,class,13
166,Recovery,0,2020-07-21 15:11:51.05530,2020-07-21 15:11:56.919593,5,class,13
167,Recovery,0,2020-07-21 15:11:51.05531,2020-07-21 15:11:56.919594,6,class,13
168,Recovery,0,2020-07-21 15:11:51.05532,2020-07-21 15:11:56.919595,7,class,13
169,Debuff ACC,0,2020-07-21 15:11:51.05533,2020-07-21 15:11:56.919596,1,class,14
170,Debuff ACC,0,2020-07-21 15:11:51.05534,2020-07-21 15:11:56.919597,2,class,14
171,Debuff ACC,0,2020-07-21 15:11:51.05535,2020-07-21 15:11:56.919598,3,class,14
172,Debuff ACC,0,2020-07-21 15:11:51.05536,2020-07-21 15:11:56.919599,4,class,14
173,Debuff ACC,0,2020-07-21 15:11:51.05537,2020-07-21 15:11:56.919600,5,class,14
174,Debuff ACC,0,2020-07-21 15:11:51.05538,2020-07-21 15:11:56.919601,6,class,14
175,Debuff ACC,0,2020-07-21 15:11:51.05539,2020-07-21 15:11:56.919602,7,class,14
176,Lifesteal,0,2020-07-21 15:11:51.05540,2020-07-21 15:11:56.919603,1,class,15
177,Lifesteal,0,2020-07-21 15:11:51.05541,2020-07-21 15:11:56.919604,2,class,15
178,Lifesteal,0,2020-07-21 15:11:51.05542,2020-07-21 15:11:56.919605,3,class,15
179,Lifesteal,0,2020-07-21 15:11:51.05543,2020-07-21 15:11:56.919606,4,class,15
180,Lifesteal,0,2020-07-21 15:11:51.05544,2020-07-21 15:11:56.919607,5,class,15
181,Lifesteal,0,2020-07-21 15:11:51.05545,2020-07-21 15:11:56.919608,6,class,15
182,Lifesteal,0,2020-07-21 15:11:51.05546,2020-07-21 15:11:56.919609,7,class,15
183,CC Resist,0,2020-07-21 15:11:51.05547,2020-07-21 15:11:56.919610,1,class,16
184,CC Resist,0,2020-07-21 15:11:51.05548,2020-07-21 15:11:56.919611,3,class,16
185,CC Resist,0,2020-07-21 15:11:51.05549,2020-07-21 15:11:56.919612,4,class,16
186,CC Resist,0,2020-07-21 15:11:51.05550,2020-07-21 15:11:56.919613,5,class,16
187,CC Resist,0,2020-07-21 15:11:51.05551,2020-07-21 15:11:56.919614,6,class,16
188,CC Resist,0,2020-07-21 15:11:51.05552,2020-07-21 15:11:56.919615,7,class,16
189,ATK Spd,1000,2020-07-21 15:11:51.05553,2020-07-21 15:11:56.919616,1,class,17
190,ATK Spd,1000,2020-07-21 15:11:51.05554,2020-07-21 15:11:56.919617,2,class,17
191,ATK Spd,1000,2020-07-21 15:11:51.05555,2020-07-21 15:11:56.919618,3,class,17
192,ATK Spd,1000,2020-07-21 15:11:51.05556,2020-07-21 15:11:56.919619,4,class,17
193,ATK Spd,1000,2020-07-21 15:11:51.05557,2020-07-21 15:11:56.919620,5,class,17
194,ATK Spd,1000,2020-07-21 15:11:51.05558,2020-07-21 15:11:56.919621,6,class,17
195,ATK Spd,1000,2020-07-21 15:11:51.05559,2020-07-21 15:11:56.919622,7,class,17
196,MP Recovery/Attack,0,2020-07-21 15:11:51.05560,2020-07-21 15:11:56.919623,1,class,18
197,MP Recovery/Attack,0,2020-07-21 15:11:51.05561,2020-07-21 15:11:56.919624,2,class,18
198,MP Recovery/Attack,0,2020-07-21 15:11:51.05562,2020-07-21 15:11:56.919625,3,class,18
199,MP Recovery/Attack,0,2020-07-21 15:11:51.05563,2020-07-21 15:11:56.919626,4,class,18
200,MP Recovery/Attack,0,2020-07-21 15:11:51.05564,2020-07-21 15:11:56.919627,5,class,18
201,MP Recovery/Attack,0,2020-07-21 15:11:51.05565,2020-07-21 15:11:56.919628,6,class,18
202,MP Recovery/Attack,0,2020-07-21 15:11:51.05566,2020-07-21 15:11:56.919629,7,class,18
203,P.Crit Resistance,0,2020-07-21 15:11:51.05560,2020-07-21 15:11:56.919623,1,class,19
204,M.Crit Resistance,0,2020-07-21 15:11:51.05561,2020-07-21 15:11:56.919624,1,class,20
205,P.Crit Resistance,0,2020-07-21 15:11:51.05562,2020-07-21 15:11:56.919625,2,class,19
206,M.Crit Resistance,0,2020-07-21 15:11:51.05563,2020-07-21 15:11:56.919626,2,class,20
207,P.Crit Resistance,0,2020-07-21 15:11:51.05564,2020-07-21 15:11:56.919627,3,class,19
208,M.Crit Resistance,0,2020-07-21 15:11:51.05565,2020-07-21 15:11:56.919628,3,class,20
209,P.Crit Resistance,0,2020-07-21 15:11:51.05566,2020-07-21 15:11:56.919629,4,class,19
210,M.Crit Resistance,0,2020-07-21 15:11:51.05567,2020-07-21 15:11:56.919630,4,class,20
211,P.Crit Resistance,0,2020-07-21 15:11:51.05568,2020-07-21 15:11:56.919631,5,class,19
212,M.Crit Resistance,0,2020-07-21 15:11:51.05569,2020-07-21 15:11:56.919632,5,class,20
213,P.Crit Resistance,0,2020-07-21 15:11:51.05570,2020-07-21 15:11:56.919633,6,class,19
214,M.Crit Resistance,0,2020-07-21 15:11:51.05571,2020-07-21 15:11:56.919634,6,class,20
215,P.Crit Resistance,0,2020-07-21 15:11:51.05572,2020-07-21 15:11:56.919635,7,class,19
216,M.Crit Resistance,0,2020-07-21 15:11:51.05573,2020-07-21 15:11:56.919636,7,class,20
