id,name,description,avatar,background,created_at,updated_at,slug,type_dmg,icon,role_id
35,Lewisia,,portrait.png,Loading_Screen.png,2020-06-07 14:37:48.961849,2020-06-16 09:35:15.904983,lewisia,Magic,magical.png,6
36,Lilia,,portrait.png,Loading_Screen.png,2020-06-07 14:38:15.701455,2020-06-16 09:35:30.181843,lilia,Physical,physical.png,6
38,Lorraine,,portrait.png,Loading_Screen.png,2020-06-07 14:38:56.081422,2020-06-16 09:35:44.675893,lorraine,Magic,magical.png,6
41,Maria,,portrait.png,Loading_Screen.png,2020-06-07 14:40:05.951988,2020-06-16 09:36:00.774211,maria,Magic,magical.png,6
52,Nyx,,portrait.png,Loading_Screen.png,2020-06-07 14:46:11.081234,2020-06-16 09:36:13.360055,nyx,Physical,physical.png,6
54,Ophelia,,portrait.png,Loading_Screen.png,2020-06-07 14:46:53.325056,2020-06-16 09:36:25.945119,ophelia,Magic,magical.png,6
56,Pavel,,portrait.png,Loading_Screen.png,2020-06-07 14:47:48.981823,2020-06-16 09:36:37.370125,pavel,Magic,magical.png,6
6,Baudouin,,portrait.png,Loading_Screen.png,2020-06-07 13:43:30.893268,2020-06-16 09:37:18.98589,baudouin,Magic,magical.png,7
9,Cassandra,,portrait.png,Loading_Screen.png,2020-06-07 13:45:42.907539,2020-06-16 09:37:31.786925,cassandra,Magic,magical.png,7
24,Juno,,portrait.png,Loading_Screen.png,2020-06-07 14:33:16.030885,2020-06-16 09:39:03.14791,juno,Physical,physical.png,7
27,Kaulah,,portrait.png,Loading_Screen.png,2020-06-07 14:34:38.171917,2020-06-16 09:39:15.697872,kaulah,Magic,magical.png,7
30,Laias,,portrait.png,Loading_Screen.png,2020-06-07 14:35:56.605523,2020-06-16 09:39:35.063575,laias,Magic,magical.png,7
33,Lavril,,portrait.png,Loading_Screen.png,2020-06-07 14:37:08.81023,2020-06-16 09:39:49.231518,lavril,Magic,magical.png,7
34,Leo,,portrait.png,Loading_Screen.png,2020-06-07 14:37:29.623217,2020-06-16 09:40:03.516028,leo,Physical,physical.png,7
39,Lucias,,portrait.png,Loading_Screen.png,2020-06-07 14:39:26.799579,2020-06-16 09:40:20.707942,licias,Physical,physical.png,7
43,Mediana,,portrait.png,Loading_Screen.png,2020-06-07 14:41:11.376459,2020-06-16 09:40:51.048469,mediana,Physical,physical.png,7
84,Fluss,,portrait.png,Loading_Screen.png,2020-06-07 15:03:12.000546,2020-06-16 09:24:49.626856,fluss,Physical,physical.png,3
88,Glenwys,,portrait.png,Loading_Screen.png,2020-06-07 15:05:51.348741,2020-06-16 08:58:26.541431,glenwys,Physical,physical.png,1
23,Jane,,portrait.png,Loading_Screen.png,2020-06-07 13:51:23.194768,2020-06-16 09:03:30.886024,jane,Magic,magical.png,1
63,Ricardo,,portrait.png,Loading_Screen.png,2020-06-07 14:50:19.574349,2020-06-16 09:06:54.181422,ricardo,Physical,physical.png,1
71,Sonia,,portrait.png,Loading_Screen.png,2020-06-07 14:53:39.318619,2020-06-16 09:07:10.464374,sonia,Magic,magical.png,1
72,Taily,,portrait.png,Taily.png,2020-06-07 14:54:08.506318,2020-06-16 09:08:14.532416,taily,Physical,physical.png,1
90,Dark Lord Kasel,,avatar.png,Dark_Lord_Kasel.png,2020-06-11 15:34:34.731481,2020-06-16 09:12:07.531427,dark-lord-kasel,Physical,physical.png,2
86,Gau,,portrait.png,Loading_Screen.png,2020-06-07 15:04:52.987779,2020-06-16 09:13:01.391269,gau,Physical,physical.png,2
66,Scarlet,,portrait.png,Loading_Screen.png,2020-06-07 14:51:17.445639,2020-06-16 09:16:06.891253,scarlet,Physical,physical.png,2
68,Seria,,portrait.png,Loading_Screen.png,2020-06-07 14:51:58.58035,2020-06-16 09:16:24.36622,seria,Magic,magical.png,2
74,Theo,,portrait.png,Loading_Screen.png,2020-06-07 14:54:57.616659,2020-06-16 09:16:40.002003,theo,Magic,magical.png,2
76,Viska,,portrait.png,Loading_Screen.png,2020-06-07 14:55:30.416772,2020-06-16 09:16:53.746667,viska,Magic,magical.png,2
83,Ezekiel,,portrait.png,Loading_Screen.png,2020-06-07 15:02:33.071971,2020-06-16 09:24:35.659745,ezekiel,Magic,magical.png,3
87,Gladi,,portrait.png,Loading_Screen.png,2020-06-07 15:05:23.90247,2020-06-16 09:25:01.95163,gladi,Physical,physical.png,3
60,Reina,,portrait.png,Loading_Screen.png,2020-06-07 14:49:14.202114,2020-06-16 09:26:44.747507,reina,Physical,physical.png,3
65,Roi,,portrait.png,Loading_Screen.png,2020-06-07 14:51:01.082667,2020-06-16 09:26:59.346951,roi,Physical,physical.png,3
73,Tanya,,portrait.png,Loading_Screen.png,2020-06-07 14:54:34.798243,2020-06-16 09:27:12.956815,tanya,Physical,physical.png,3
62,Requina,,portrait.png,Loading_Screen.png,2020-06-07 14:50:03.66382,2020-06-16 09:28:23.029644,requina,Physical,physical.png,4
67,Selene,,portrait.png,Loading_Screen.png,2020-06-07 14:51:36.050798,2020-06-16 09:28:39.355628,selene,Physical,physical.png,4
69,Shamilia,,portrait.png,Loading_Screen.png,2020-06-07 14:52:58.903592,2020-06-16 09:28:54.262907,shamilia,Magic,magical.png,4
78,Yanne,,portrait.png,Loading_Screen.png,2020-06-07 14:56:19.459966,2020-06-16 09:29:07.061889,yanne,Physical,physical.png,4
79,Yuria,,portrait.png,Loading_Screen.png,2020-06-07 14:56:35.260732,2020-06-16 09:29:19.650324,yuria,Magic,magical.png,4
80,Zafir,,portrait.png,Loading_Screen.png,2020-06-07 14:56:54.16261,2020-06-16 09:29:33.810827,zafir,Physical,physical.png,4
89,Hanus,,portrait.png,Hanus.png,2020-06-07 15:06:06.986897,2020-06-16 09:30:50.311213,hanus,Physical,physical.png,5
64,Rodina,,portrait.png,Loading_Screen.png,2020-06-07 14:50:41.350142,2020-06-16 09:33:22.387532,rodina,Physical,physical.png,5
75,Veronica,,portrait.png,Loading_Screen.png,2020-06-07 14:55:12.848909,2020-06-16 09:36:49.890372,veronica,Magic,magical.png,6
77,Xerah,,portrait.png,Xerah.png,2020-06-07 14:55:59.230396,2020-06-16 09:37:05.673382,xerah,Magic,magical.png,6
82,Evan,,portrait.png,Evan.jpg,2020-06-07 15:01:15.169405,2020-06-16 09:37:46.227723,evan,Physical,physical.png,7
91,Fallen Frey,,avatar.png,Fallen_Frey.png,2020-06-11 15:35:27.488463,2020-06-16 09:38:03.637688,fallen-frey,Magic,magical.png,7
85,Frey,,portrait.png,Loading_Screen.png,2020-06-07 15:03:30.466556,2020-06-16 09:38:44.057723,frey,Magic,magical.png,7
59,Rehartna,,portrait.png,Rehartna.png,2020-06-07 14:48:55.571569,2020-06-16 09:41:07.377365,rehartna,Physical,physical.png,7
61,Rephy,,portrait.png,Loading_Screen.png,2020-06-07 14:49:34.757464,2020-06-16 09:41:22.046955,rephy,Magic,magical.png,7
70,Shea,,portrait.png,Loading_Screen.png,2020-06-07 14:53:17.537352,2020-06-16 09:41:39.184013,shea,Magic,magical.png,7
