id,name,description,mana,created_at,updated_at,char_id,cooldown,skill_number,parent_id
15,Light's Judgment,"Attacks all enemies 3 times, dealing a total of 545880 M.DMG and stunning them for 5 sec. Per each killed enemy with this skill, cooldown is reduced by 30%",4,2020-06-24 17:28:13.065546,2020-06-24 17:28:13.065546,4,20,3,
16,Blessing of Light,"Each attack has a 50% chance of dealing 44816 M.DMG to target and nearby enemies, while Artemia gains 1 stack of Blessing of Light. Blessing of Light can be stacked up to 10 times max. Per every stack, ATK is increased by 5222 , DMG dealt to enemies other than heroes is increased by 7% and DMG received from enemies other than heroes is reduced by 3%",NULL,2020-06-24 17:28:24.675089,2020-06-24 17:28:24.675089,4,NULL,4,
17,Sword of the Sun,"Deals 138175 M.DMG to enemy and surrounding enemies within range, and inflicts Stun for 3 sec",2,2020-06-24 17:28:50.960474,2020-06-24 17:28:50.960474,5,9,1,
18,Blessing of the Sun,"Imbues the Blessing of the Sun to the ally with the highest ATK, reducing cooldown of all skills by 20% and increasing ATK by 38948 for 15 sec",2,2020-06-24 17:29:12.63545,2020-06-24 17:29:12.63545,5,20,2,
19,Judgment of the Sun,"Takes position, focuses to heal HP of nearby allies, excluding self, 8 times for a total of 24357, and increases their P.DEF by 52477 for 5 sec. Deals a total of 277151 M.DMG on enemies within range over 8 times, and decreases their M.DEF by 28970 for 5 sec. After the end of the casting, heals HP of allies within range, excluding self, by 153676, and deals 119552 M.DMG on enemies, and knocks them down for 3 sec",4,2020-06-24 17:35:46.637345,2020-06-24 17:35:46.637345,5,20,3,
20,Curse of the Sun,"Upon attack, inflicts Curse of the Sun on the target for 10 sec. Enemies with 10 stacks of Curses of the Sun will consume the stack to receive 111223 M.DMG, and become inflicted with Blind for 2 sec, having their ATK reduced by 20% for 10 sec",NULL,2020-06-24 17:36:07.911727,2020-06-24 17:36:07.911727,5,NULL,4,
21,Holy Nova,"Targets the ally with the lowest HP and allies nearby to heal 194058 HP. Deals 64342 M.DMG to enemies near the target, and reduces enemy ATK Spd by 25% for 10 sec.",2,2020-07-08 10:17:24.503081,2020-07-08 10:17:24.503081,6,6,1,
22,Spear of Light,"Deals 185571 M.DMG, inflicts knockback, and shackles the target enemy for 6 sec. Enemies inflicted by shackle take 25% increased M.DMG while the effect lasts.",2,2020-07-08 10:18:13.0797,2020-07-08 10:18:13.0797,6,15,2,
23,Holy Sanctuary,Grants Invincibility to all allies for 7 sec and heals 298431 HP for the duration of skill.,1,2020-07-08 10:18:49.889828,2020-07-08 10:18:49.889828,6,60,3,
24,Training of God,Each attack has a 20% chance of dealing 141067 M.DMG to target and inflicting stun for 1.5 sec.,NULL,2020-07-08 10:19:03.47545,2020-07-08 10:19:03.47545,6,NULL,4,
25,Circle of Futility,"Attacks the target and nearby enemies within range, dealing 207231 M.DMG and placing the Circle of Futility. Circle of Futility deals 367856 M.DMG, reduces ATK Spd by 300 , and prevents enemies from receiving positive effects over 4 sec. A 4 sec Cooldown will be applied at the beginning of the first battle.",0,2020-07-08 10:19:35.188772,2020-07-08 10:19:35.188772,7,15,1,
26,Battle Initiation,"Attacks enemies within frontal range, dealing 249599 M.DMG and knocking them back. Then, increases own All DMG Reduction by 200 and DEF by 26118, and gains immunity to CC for 15 sec. A 8 sec Cooldown will be applied at the beginning of the first battle.",0,2020-07-08 10:19:47.915263,2020-07-08 10:19:47.915263,7,22,2,
27,Destroyer,"Deals 429520 M.DMG over 10 attacks to nearby enemies in a circular range around self. Then, attacks enemies in a wide surrounding area, dealing 376852 M.DMG and stunning them for 5 sec. If the target is not a Hero, each attack will deal additional 42074 M.DMG. A 10 sec Cooldown will be applied at the beginning of the first battle.",0,2020-07-08 10:20:03.179305,2020-07-08 10:20:03.179305,7,22,3,
28,Breakdown,"Bernheim cannot recover Mana, and all his Skills do not consume any Mana. Normal and Skill attacks inflict Breakdown to enemies for 10 sec, reducing their Heal Rate by 1%, and increasing own ATK by 3085 and Heal Rate by 0.5%. All effects stack up to 50 times.",0,2020-07-08 10:20:17.816957,2020-07-08 10:20:17.816957,7,0,4,
29,Tremble!,"Cain heals the ally with the lowest HP by 237423 and grants the ally with [The God King’s Blessing], which reduces All DMG the ally receives 35% and grants immunity to CC for 3.5 sec. After 3.5 seconds, Cain dispels negative effects from the target and the allies nearby. Afterwards, heals their HP by 237423. [The God King’s Blessing] is irremovable.",2,2020-07-08 10:20:38.212117,2020-07-08 10:20:38.212117,8,14,1,
30,Kneel.,"Cain deals 212620 P.DMG to the enemy with the highest ATK and casts [Sealing Technique of the Tyrant] that reduces the target's ATK Spd 350 and prevents the target from receiving any positive effects for 5 sec. After 5 sec, Cain deals 176824 P.DMG to the target and the enemies nearby, inflicting stun for 3 sec. [Sealing Technique of the Tyrant] is irremovable.",2,2020-07-08 10:20:49.640126,2020-07-08 10:20:49.640126,8,14,1_2,29
31,Behold My Might.,"Cain turns into a [Tyrant] and constantly attacks the target, dealing 82084 P.DMG with each hit. While Cain is in [Tyrant] form, [Tremble!] and [Gaze Upon My Almighty Power!] change to [Kneel.] and [Now Die.]. Upon using the Skill again, he returns to [God King] form. [The God King’s Mercy] - While Cain is in God King form, reduces DMG all allies take 10%. [Dignity of the Tyrant] – While Cain is in Tyrant form, increases DMG all enemies take 10%.",3,2020-07-08 10:25:14.0126,2020-07-08 10:25:14.0126,8,8,2,
32,Gaze Upon My Almighty Power!,"Increases All DEF of allies nearby self by 5222 for 10 sec 10 times. DEF Boost effect stacks up to 10 time(s), and if this Skill is cast on an ally with 10 stacks, increases the target’s ATK 150088 and grants immunity to CC for 10 sec.",3,2020-07-08 10:25:28.931227,2020-07-08 10:25:28.931227,8,25,3,
33,Now Die,"Places a [Gate of Hell] in frontal area of self for 3 sec, dealing a total of 158780 P.DMG to enemies in range over 10 attack(s) and pulling them to the center. Afterwards, explodes the [Gate of hell], dealing 152815 P.DMG and stunning the enemies for 3 sec.",4,2020-07-08 10:25:41.276008,2020-07-08 10:25:41.276008,8,25,3_2,32
34,I Am the King of the Desert.,"At the beginning of each battle, gains an irremoveable stack of [King of the Desert]. Each Stack of of [King of the Desert] increases the effect of [The God King's Mercy] and [Dignity of the Tyrant] by 5%. Additionally, recovers 100 Mana every second, and increases ATK by 13055. If [King of the Desert] is stacked 3 time(s) or more, self deals 50% increased DMG to Bosses. [King of the Desert] can be stacked up to 5 times.",NULL,2020-07-08 10:25:57.015398,2020-07-08 10:25:57.015398,8,NULL,4,
35,Softly~,Heals all allies by 231308 HP and deals 161713 M.DMG to all enemies. Hit enemies are inflicted by Silence for 2 sec.,2,2020-07-08 10:29:32.627653,2020-07-08 10:29:32.627653,9,8,1,
36,Fiercely!,"For 15 sec, all allies' ATK is increased by 11874 and Crit Chance is increased by 700.",3,2020-07-08 10:29:56.605588,2020-07-08 10:29:56.605588,9,20,2,
37,Tempting Wave,"Deals 322459 M.DMG to an enemy with the highest ATK. If this skill is used in Arena, inflicts Charm on the target for 7 sec. If this skill is used outside the Arena, enemy takes 25% increased M.DMG. Charmed enemies cannot use any skills, and deals auto attack to own allies.",4,2020-07-08 10:30:44.288235,2020-07-08 10:30:44.288235,9,22,3,
38,Gentle Touch,"At the start of each battle, reduces mana cost by 2 orbs for a single skill, and all allies' DEF is increased by 20181 for 5 sec.",NULL,2020-07-08 10:30:56.052664,2020-07-08 10:30:56.052664,9,NULL,4,
39,Outta the way!,"Marks the farthest enemy as the [Villain], reducing its ATK Spd by 200 for 15 sec. Then, moves to the target to deal 130933 P.DMG. After using this Skill, [Crushing Kick!] becomes available.",3,2020-07-08 10:31:16.243066,2020-07-08 10:31:16.243066,10,12,1,
40,Crushing Kick!,"Attacks the target, dealing 155307 P.DMG and knocking it away for 4 sec. Enemies marked as [Villain] are prioritized. After using this Skill, [Tempest Kick!] becomes available.",0,2020-07-08 10:31:30.204977,2020-07-08 10:31:30.204977,10,0,1_2,39
41,Tempest Kick!,"Moves to the farthest enemy, dealing 185279 P.DMG and stunning it for 4 sec. Enemies marked as [Villain] are prioritized.",0,2020-07-08 10:31:41.507454,2020-07-08 10:31:41.507454,10,0,1_3,39
42,Infinite Potential,"Deals 177450 P.DMG to nearby enemies in a circular range of self, knocking them down for 3 sec. Afterward, Cecilia gains [Infinite Potential], which increases own ATK Spd by 300 for 15 sec. While under [Infinite Potential], Normal and Skill attacks deal 29568 P.DMG to Heroes and 88713 P.DMG to Non-Hero enemies. This effect is irremovable.",3,2020-07-08 10:31:53.771234,2020-07-08 10:31:53.771234,10,20,2,
43,WA-TAAAAAH!!!,"Deals 495594 P.DMG over 6 attacks to nearby enemies in a circular range of self. Afterward, deals 246321 P.DMG to the target and its nearby enemies, knocking them down for 4 sec. While under [Infinite Potential], [Special Move. Meteor Kick!!!] becomes available for 10 sec.",3,2020-07-08 10:32:05.751586,2020-07-08 10:32:05.751586,10,21,3,
44,Special Move. Meteor Kick!!!,"Launches a full force attack that deals 762136 P.DMG to the target and enemies nearby, stunning them for 5 sec. This Skill will always be a Critical Hit.",1,2020-07-08 10:32:21.342473,2020-07-08 10:32:21.342473,10,0,3_2,43
45,Inborn Talent,Increases own DEF by 4981 and Crit Chance by 200. Cecilia's Normal and Skill attacks will not miss.,NULL,2020-07-08 10:32:33.68722,2020-07-08 10:32:33.68722,10,NULL,4,
46,I'll Break You!,"Prevents the target from receiving positive effects for 4 seconds, and attacks to inflict 193762 P.DMG and knocks the target back. Inflicts 74425 P.DMG after 1 second to enemies around the target and stuns them for 4 seconds.",2,2020-07-08 10:57:24.803201,2020-07-08 10:57:24.803201,11,12,1,
47,Remove Limit,"Upon activation, [Remove Limit] takes effects. When activated, consumes 10% of current HP to remove all negative effects on self and deals 201833 P.DMG to nearby enemies in range. While [Remove Limit] is activated, consumes 2.5% of current HP every 1 second, gains Immunity to CC, and increases Crit DMG by 50% and ATK Spd by 350. HP consumption and the increase in Crit DMG and ATK Spd grow larger as time passes. This effect cannot be dispelled, and is automatically deactivated when HP is under 25%.",3,2020-07-08 10:57:36.495114,2020-07-08 10:57:36.495114,11,10,2,
48,"Burn, Spear of Fury","Charges at an enemy, inflicting 130278 P.DMG and knocking it down, and explodes the ground around self to attack 4 times, dealing a total of 256944 P.DMG and inflicting Stun for 4 seconds. Recovers HP equal to 25% of DMG.",3,2020-07-08 10:57:48.424727,2020-07-08 10:57:48.424727,11,20,3,
49,Remember This in Hell,"Not affected by Lifesteal stats. Instead, increases Max HP by 237488, Crit by 250, CC ACC by 100, and ACC by 100. If receiving damage that leads to death, resurrects for 5 seconds, with increased Crit DMG by 40%, and increased ATK Spd by 400. The resurrection effect is only activated once per battle, and the resurrected Chase cannot use skills.",NULL,2020-07-08 10:58:06.481743,2020-07-08 10:58:06.481743,11,NULL,4,
50,Light of Annihilation,"Deals 276148 M.DMG that ignores DEF to the target, and inflicts stun for 3 sec. Deals additional 199099 M.DMG that ignores DEF to Non-Hero targets. After use, removes all stacked Lights and gains irremovable Red Light.",3,2020-07-08 10:58:29.450735,2020-07-08 10:58:29.450735,12,19,1,
51,Enemy Blockade,"Dispels all negative effects from self, deals 70196 M.DMG to all enemies, and silences them for 1 sec. After use, removes all stacked Lights and gains irremovable Blue Light.",3,2020-07-08 10:58:44.630425,2020-07-08 10:58:44.630425,12,16,2,
52,Green Zone,"Deals 158988 M.DMG to frontal enemies in a straight line and creates a Green Zone ahead. Enemies in the Green Zone cannot receive positive effects and takes a total of 160980 M.DMG over 3 sec, having their Heal Rate reduced by 30%. After use, removes all stacked Lights and gains irremovable Green Light.",3,2020-07-08 10:58:54.718865,2020-07-08 10:58:54.718865,12,25,3,
53,Technomagic of the Empire,"Increases ATK by 7118 and ACC by 100 for all allies, and own normal attack effect changes according to the color of light owned. Red Light - Increases DMG of normal attack by 100%, and upon attack, reduces Cooldown of [Light of Annihilation] by 1 sec. Blue Light - Reduces DMG of normal attack by 50%, but deals DMG to the entire enemy. Targets take 30% increased M.DMG for 10 sec. Green Light - Reduces DMG of normal attack by 20%, but deals DMG to 2 enemies. Heal Rate of the target is reduced by 20% for 5 sec.",NULL,2020-07-08 10:59:10.268936,2020-07-08 10:59:10.268936,12,NULL,4,
54,Cut Ground,"Leaps into the air and deals ??? P.DMG to enemies in range, stunning them for 3 sec.",2,2020-07-08 11:08:36.16869,2020-07-08 11:08:36.16869,13,9,1,
55,Shield Strike,"Deals ??? P.DMG proportional to DEF to enemies in range and knocks them back. Hit enemies' DEF is reduced by 30%. Upon blocking an attack, skill cooldown is reduced by 0.5 sec.",1,2020-07-08 11:08:48.300117,2020-07-08 11:08:48.300117,13,8,2,
56,Guardian Shield,All allies' P.DEF is increased by ??? for 20 sec and P.Crit Resistance is increased by 30%.,2,2020-07-08 11:09:01.664094,2020-07-08 11:09:01.664094,13,12,3,
57,Vow of Knights,"Upon blocking, deals ??? P.DMG to frontal enemies and decreases ATK of affected targets by 20% for 8 sec. Recovers 300 MP after hitting the target.",NULL,2020-07-08 11:09:16.381071,2020-07-08 11:09:16.381071,13,NULL,4,
58,Fire Needle,Attacks a random enemy 5 times to deal a total of ??? M.DMG. Recovers own Mana by 100 upon a Critical Hit.,2,2020-07-08 11:09:51.407501,2020-07-08 11:09:51.407501,14,5,1,
59,Fire Ball,"Attacks the target and the enemies in nearby range, dealing ??? M.DMG and stunning them for 2 sec. Deals ??? additional M.DMG to Bosses.",3,2020-07-08 11:10:04.518576,2020-07-08 11:10:04.518576,14,10,2,
60,Fire Ball,"Attacks all enemies 5 times, dealing a total of ??? M.DMG. This attack deals 150% increased Crit DMG.",4,2020-07-08 11:10:40.425085,2020-07-08 11:10:40.425085,14,15,3,
61,Flame Diffusion,Inflicts a stack of Ember upon hitting an enemy. Enemies affected by Ember take ??? M.DMG over 20 seconds. Ember can be stacked up to max 10 times.,NULL,2020-07-08 11:10:55.20304,2020-07-08 11:10:55.20304,14,NULL,4,
62,Target will be Eliminated.,Deals a total of ??? P.DMG to enemies in front over 15 times and leaves 2 'Hunting Dog's Fang Marks' for 40 sec. Hunting Dog's Fang Mark stacks up to max 100 times.,2,2020-07-08 11:11:13.557931,2020-07-08 11:11:13.557931,15,10,1,
63,Struggle is Meaningless.,"Attacks a random enemy 10 times and deals a total of ??? P.DMG. Shoots a Frost Bullet that deals ??? P.DMG to target and surrounding enemies, freezing them for 4 sec. The special Frost Bullet creates a freezing area for 6 seconds that deals ??? P.DMG every 2 sec, with a 50% chance to freeze for 2 sec.",3,2020-07-08 11:11:28.639195,2020-07-08 11:11:28.639195,15,15,2,
64,Even Gods shall Die.,"Takes position and focuses to shoot a laser, dealing ??? P.DMG to frontal enemies within range, and consumes target's stack of Hunting Dog's Fang Mark to deal ??? additional P.DMG per each stack. Depending on the focusing time, the effect's range increases, and DMG is increased up to max 100%. Once the focus is completed, knocks back the enemy far away.",4,2020-07-08 11:11:40.305754,2020-07-08 11:11:40.305754,15,20,3,
65,Hunting Preparation,Crow is not affected by changes in ATK Spd. ATK increases by ??? and Crit DMG by 80%. Recovers 300 Mana every second. It also leaves a 'Hunting Dog's Fang Mark' to target for 40 sec when dealing a normal attack.,NULL,2020-07-08 11:11:50.044097,2020-07-08 11:11:50.044097,15,NULL,4,
66,Judgment Upon Them!,"Deals ??? M. DMG to the target and enemies nearby, stunning them for 1 sec and healing allies within the range by ??? HP. Activating [Grant Me Strength!] will reset Cooldown of this Skill, and remove Cooldown up to 3 Skill uses.",2,2020-07-08 11:18:38.892968,2020-07-08 11:18:38.892968,16,3,1,
67,Grant Me Strength!,"Over 10 sec, heals own HP by ??? and recovers ??? orbs of Mana, increasing ATK by ??? for the duration. If own HP is full upon activation, casts a shield that blocks ??? DMG and grants CC Immunity for 5 sec. If there are 3 or less allies, this effect will apply to all allies.",0,2020-07-08 11:18:51.332969,2020-07-08 11:18:51.332969,16,18,2,
68,May Their Agony End!,"Attacks a random enemy 5 times, dealing ??? M.DMG in total. If the target is not a Hero, deals additional ??? M.DMG. While [Grant Me Strength!] is active, an enemy with highest ATK will be prioritized.",3,2020-07-08 11:19:01.94114,2020-07-08 11:19:01.94114,16,13,3,
69,Might of the Ancestors!,"If own HP is full, increases ATK by ???. If not, heals own HP by ??? every sec. Upon taking a fatal damage, consumes entire Mana to cast a shield that blocks ??? DMG and grants CC Immunity for 5 sec. While the shield is active, Dakaris cannot recover Mana.",NULL,2020-07-08 11:19:11.950411,2020-07-08 11:19:11.950411,16,NULL,4,
70,Judgement Blade,"Attacks frontal enemies in a straight line 2 times, dealing a total of ??? P.DMG and preventing enemies from recovering Mana for 2 sec. [Dark Lord] Additionally attacks enemies in wide range 1 time, dealing ??? P.DMG and knocking them down for 3 sec. Requires 5 or more stacks of [Dark Energy] for use.",0,2020-07-08 11:19:31.070562,2020-07-08 11:19:31.070562,90,11,1,
71,Doom,"Explodes darkess and attacks frontal enemies in a straight line 3 times, dealing a total of ??? P.DMG and knocking them away for 3 sec. [Dark Lord] Deals ??? P.DMG to 1 enemy furthest away and pulls it in front of self, exploding Darkness afterward. Requires 15 or more stacks of [Dark Energy] for use.",0,2020-07-08 11:19:40.013191,2020-07-08 11:19:40.013191,90,15,2,
72,Advent of the Dark Lord,"Dispels negative effects from self and enter into an irremovable [Dark Lord] state for 20 sec, dealing ??? P.DMG to nearby enemies in circular range of self. During [Dark Lord] state, all skills are enhanced, gains immunity to CC, and normal attacks deal ??? additional P.DMG each hit. Requires 25 or more stacks of [Dark Energy] for use. Upon use, consume all stacks to increase own ATK by ??? and DEF Penetration by 10 per stack.",0,2020-07-08 11:19:50.306279,2020-07-08 11:19:50.306279,90,25,3,
73,One Fallen to Darkness,"Although Dark Lord Kasel cannot recover Mana since he is granted with the power of Darkness, his ATK increases by ???, deals attacks that always hit, and requires [Dark Energy] stacks to use Skills. Normal attacks grant [Dark Energy] stacks. [Dark Energy] can be stacked up to max 40 times and is irremovable.",NULL,2020-07-08 11:19:59.579913,2020-07-08 11:19:59.579913,90,NULL,4,
74,Penetration,"Throws a spear at the furthest enemy, dealing ??? P.DMG and drawing the enemy in front of the hero. Then deals ??? P.DMG to enemies in range, stunning them for 3 sec.",3,2020-07-08 11:20:16.59341,2020-07-08 11:20:16.59341,17,11,1,
75,Will to Win,"Upon blocking enemy attack for 15 sec, triggers a shockwave that deals ??? P.DMG to enemies in range, reducing their ATK by 20%.",2,2020-07-08 11:20:25.211714,2020-07-08 11:20:25.211714,17,15,2,
76,Steel Fortress,"Upon DMG block during casting, jump attack DMG is increased by 7%. Also, deals ??? P.DMG to enemy and inflicts stun. After casting, jumps and attacks the enemy, dealing ??? P.DMG and stunning them for 4 sec. Gains immunity to CC while the skill is in use.",4,2020-07-08 11:20:38.305829,2020-07-08 11:20:38.305829,17,22,3,
77,Spearhead,All allies' P.DEF is increased by ??? and P.Block chance is increased by 250.,NULL,2020-07-08 11:21:31.158635,2020-07-08 11:21:31.158635,17,NULL,4,
78,Dark Rampage,Deals ??? M.DMG to an enemy.,1,2020-07-08 11:21:51.029979,2020-07-08 11:21:51.029979,18,8,1,
79,Black Shackle,Deals ??? M.DMG to enemies in range and shackles them for 6 sec.,3,2020-07-08 11:22:01.879324,2020-07-08 11:22:01.879324,18,15,2,
80,Shadow Wave,Deals ??? M.DMG to enemies in a straight line and inflicts Blind for 6 sec.,3,2020-07-08 11:22:12.735251,2020-07-08 11:22:12.735251,18,20,3,
81,Black Stain,Each auto attack deals extra ??? M.DMG that ignores target's M.DEF.,NULL,2020-07-08 11:22:23.080316,2020-07-08 11:22:23.080316,18,NULL,4,
82,This Will Hurt!,"After increasing CC Resist of allies within self's range by 200 for 10 sec, attacks enemies to deal ??? M.DMG and causes them to take 30% increased M.DMG for 10 sec. Hit enemies become unable to recover Mana for 3 sec.",3,2020-07-08 11:22:40.565319,2020-07-08 11:22:40.565319,19,14,1,
83,On Guard!,Dispels negative effects from all allies and increases P.DEF by ??? + 4% of Dosarta's ATK for 10 sec.,2,2020-07-08 11:22:50.167585,2020-07-08 11:22:50.167585,19,16,2,
84,Hya! Kya! Take this!,"Attacks a target 4 times, dealing a total of ??? M.DMG and stunning it for 4 sec. Afterward, launches a final attack on frontal enemies within range, dealing ??? M.DMG and pulling them to the center. Against Non-Hero enemies, each attack deals additional ??? M.DMG that ignores DEF.",4,2020-07-08 11:23:01.507993,2020-07-08 11:23:01.507993,19,20,3,
85,Let Us Challenge Together!,"Upon blocking, reduces Cooldown of self's active Skills by 1 sec and increases P.DEF of self by ??? + 1% of Dosarta's ATK for 4 sec. A 6 -sec Cooldown will be applied.",NULL,2020-07-08 11:23:11.008921,2020-07-08 11:23:11.008921,19,NULL,4,
86,Absorbing Blow,"Deals ??? M.DMG that ignores enemy DEF, and heals 25% of DMG as HP.",2,2020-07-08 11:23:31.419576,2020-07-08 11:23:31.419576,20,12,1,
87,Nightmare,Moves behind the furthest enemy and deals ??? M.DMG. Hit enemies take 30% increased M.DMG for 10 sec.,2,2020-07-08 11:23:41.097472,2020-07-08 11:23:41.097472,20,8,2,
88,Devil's Prom,Deals ??? M.DMG to all enemies in range. Gains CC immunity while using this skill.,4,2020-07-08 11:23:51.456304,2020-07-08 11:23:51.456304,20,20,3,
89,Harvest,"When an enemy is killed by this hero, ATK is increased by ??? for 12 sec, and all skill cooldown is reduced by 30%.",NULL,2020-07-08 11:24:01.032744,2020-07-08 11:24:01.032744,20,NULL,4,
90,Sweet Blood,"Deals ??? P.DMG to all enemies and Lifesteals HP equal to 10% of DMG dealt. Each hit reduces Cooldown of [Sweet Blood] by 0.5 sec and grants 1 irremovable stack of [Sweet Blood]. [Sweet Blood] can be stacked up to max 5 times, and using the Skill with 5 stacks of [Sweet Blood] grants 1 additional hit and removes [Sweet Blood] stacks.",2,2020-07-08 11:24:22.107722,2020-07-08 11:24:22.107722,21,5,1,
91,Soaking Blood,"Dispels all negative effects and gains immunity to all CCs, P.DMG, and M.DMG for 5 sec. Inflicts 1 stack of [Soaking Blood] on all enemies, and additional 1 stack upon attacking a target with [Soaking Blood]. [Soaking Blood] can be stacked up to 6 times. Deals ??? P.DMG to enemies with [Soaking Blood] stacks after 5 sec, and steals HP equal to 25% of the DMG dealt. For every 3 stack(s) of [Soaking Blood], hit count increases by 1 and removes [Soaking Blood] stacks upon attacking.",2,2020-07-08 11:24:32.626633,2020-07-08 11:24:32.626633,21,35,2,
92,Blood Liberation,Deals ??? P.DMG to all enemies every 1 sec for 10 sec. Each hit of [Blood Liberation] causes an additional hit on 1 random enemy.,3,2020-07-08 11:24:44.664451,2020-07-08 11:24:44.664451,21,14,3,
93,Life Drinker,"Increases ATK by ??? and Max HP by ??? upon killing an enemy. Stacks up to max 50. Upon taking fatal DMG, casts [Soaking Blood], and decreases Max HP by 40%. This effect is not applied when [Soaking Blood] is in cooldown. This skill consumes all Mana upon activation.",NULL,2020-07-08 11:24:54.381974,2020-07-08 11:24:54.381974,21,NULL,4,
94,This Is My Game,"Attacks a random enemy 3 times, dealing ??? M.DMG and stunning it for 3 sec. If the 3 attacks land on the same enemy, deals additional ??? M.DMG that ignores DEF.",2,2020-07-08 11:25:45.936432,2020-07-08 11:25:45.936432,22,14,1,
95,My Turn,"Rolls the dice and increases ATK and Crit DMG of 2 random allies by ??? and 7% respectively for 60 sec. This effect can be stacked up to max 10 times, and the number of targets increases by 1 per 1 pip on the rolled dice.",2,2020-07-08 11:25:55.313753,2020-07-08 11:25:55.313753,22,18,2,
96,Shall I Try My Luck?,"Attacks all enemies and deals ??? M.DMG, permanently reducing Cooldown of this skill by 2 sec or increasing its DMG by 30%, each with a 50% chance. This effect can be stacked up to max 10 times.",4,2020-07-08 11:26:05.190193,2020-07-08 11:26:05.190193,22,22,3,
97,This Is Not a Trick,"Every 10 sec, increases own ATK by ??? and DEF by ???. This effect can be stacked up to max 10 times.",NULL,2020-07-08 11:26:15.281587,2020-07-08 11:26:15.281587,22,NULL,4,
98,Purification of Life,Heals HP of all allies by ??? and increases Heal Rate of healed allies by 25% for 15 sec.,2,2020-07-08 11:26:35.952658,2020-07-08 11:26:35.952658,82,12,1,
