id,name,description,image,tier,created_at,updated_at
23,Mortal Wound,Successful Crit Attack reduces enemy recovery rate by 50% and deal Physical continuous DMG every second equal to 20% ATK. Does not stack,Mortal_Wound.png,Archer,2020-06-07 11:37:41.502571,2020-06-16 08:52:17.969289
24,Opportune Strike,Crit Chance is increased by 150 and Crit DMG is increased by 30%,Opportune_Strike.png,Archer,2020-06-07 11:41:05.560693,2020-06-16 08:52:25.520147
25,Concentration,Every 5 sec, increases own Crit DMG by 4%. This effect can be stacked up to max 25 times and is irremovable,Concentration.png,Archer,2020-06-07 11:41:17.796651,2020-06-16 08:52:37.550712
26,Target Weakness,ATK rises by 20% and DEF Penetration rises by 200,Target_Weakness.png,Mechanic,2020-06-07 11:41:39.093107,2020-06-16 08:52:46.534682
27,Ready Cannons,Mana recovery per second rises by 62.5% per every enemy,Ready_Cannons.png,Mechanic,2020-06-07 11:41:54.698973,2020-06-16 08:52:54.897351
28,Pressure Point,Crit chance increases by 400,Pressure_Point.png,Mechanic,2020-06-07 11:42:08.031019,2020-06-16 08:53:04.190284
29,Special Bullet,Attacked target loses 15% of ATK and 150 of Crit. Chance. Does not stack,Special_Bullet.png,Mechanic,2020-06-07 11:42:20.697565,2020-06-16 08:54:09.694581
30,Amplified Gunpowder,Increases Crit DMG of all allies by 30%. If the ally uses the same Perk, only 10% additional Crit DMG is applied,Amplified_Gunpowder.png,Mechanic,2020-06-07 11:42:34.225282,2020-06-16 08:54:53.165758
31,Deception,When receiving DMG, becomes immune to the next 3 hit of DMG. This effect is activated every 40 sec,Deception.png,Wizard,2020-06-07 11:52:09.670729,2020-06-16 08:55:02.11499
32,Moral Rise,Increases ATK of all allies by 15%. If the ally uses the same Perk, only 3% additional ATK applies,Moral_Rise.png,Wizard,2020-06-07 11:52:30.424232,2020-06-16 08:55:11.357094
33,Blessing of Mana,Mana recovery per second rises by 250%,Blessing_of_Mana.png,Wizard,2020-06-07 11:53:05.44302,2020-06-16 08:55:22.335774
34,Circuit Burst,Receives 15% more DMG but gains 40% ATK. ACC is increases by 200,Circuit_Burst.png,Wizard,2020-06-07 11:53:20.615621,2020-06-16 08:55:30.621329
35,Destruction,Increases Crit Chance by 200 and DEF Penetration by 200,Destruction.png,Wizard,2020-06-07 11:53:37.65328,2020-06-16 08:55:38.164827
36,Vengeful Curse,"When hit by an enemy, attacker's DMG is reduced by 70% for 3 sec. This effect only activates once in 40 sec, and cannot be dispelled",Vengeful_Curse.png,Priest,2020-06-07 11:53:58.495904,2020-06-16 08:55:45.160979
37,Goddess Blessing,Increases Crit Chance of all allies by 150. If the ally uses the same Perk, only 50 additional Crit Chance applies,Goddess_Blessing.png,Priest,2020-06-07 11:54:16.469817,2020-06-16 08:55:54.596839
38,Inner Peace,Heal all allies by 1% every sec and increases CC Resist by 75. If the ally uses the same Perk, only 0.3% additional healing per sec and 25 additional CC Resist apply,Inner_Peace.png,Priest,2020-06-07 11:54:28.523476,2020-06-16 08:56:03.244158
39,Blessing of Mana,Mana recovery per second rises by 250%,Blessing_of_Mana.png,Priest,2020-06-07 11:54:40.793177,2020-06-16 08:56:14.802896
40,Swiftness,Increases ATK Spd of all allies by 150. If the ally uses the same Perk, only 50 additional ATK Spd applies,Swiftness.png,Priest,2020-06-07 11:54:56.931741,2020-06-16 08:56:22.679303
41,Mystic Barrage,If there is 1 enemy, DMG is increased by 100%,s1l.png,Aisha,2020-06-18 10:54:36.477419,2020-06-18 10:54:36.477419
43,Destruction Ray,The mana cost of the Boosted Ray is half,s2l.png,Aisha,2020-06-18 10:58:09.293589,2020-06-18 10:58:09.293589
42,Mystic Barrage,Upon a Crit Hit, recovers 300 mana,s1d.png,Aisha,2020-06-18 10:55:52.729408,2020-06-18 10:57:46.013617
44,Destruction Ray,The mana cost of the Boosted Ray is doubled and the DMG increase is boosted from 100% to 200%,s2d.png,Aisha,2020-06-18 10:58:17.972619,2020-06-18 10:58:17.972619
45,Torrential Rainfall,Deals AoE DMG	,s3l.png,Aisha,2020-06-18 10:58:34.387664,2020-06-18 10:58:34.387664
46,Torrential Rainfall,M.DEF reduction effect now stacks up to 10 times max	,s3d.png,Aisha,2020-06-18 10:58:40.543934,2020-06-18 10:58:40.543934
47,Mystic Boost,DMG is increased by 40%,s4l.png,Aisha,2020-06-18 10:58:59.377549,2020-06-18 10:58:59.377549
48,Mystic Boost,Ignores enemy Block,s4d.png,Aisha,2020-06-18 10:59:08.002274,2020-06-18 10:59:08.002274
51,Emergency Treatment	,Cooldown is reduced by 3 sec		,s2l.png,Annette,2020-06-18 11:14:05.648038,2020-06-18 11:14:05.648038
52,Emergency Treatment	,Charge amount is boosted by 40% upon use	,s2d.png,Annette,2020-06-18 11:14:12.519142,2020-06-18 11:14:12.519142
53,Process of Elimination	,DMG is increased by 40%	,s3l.png,Annette,2020-06-18 11:14:24.801038,2020-06-18 11:14:24.801038
54,Process of Elimination	,Target takes 25% increased M.DMG	,s3d.png,Annette,2020-06-18 11:14:31.930498,2020-06-18 11:14:31.930498
55,Charge,ATK boost is increased by 40%,s4l.png,Annette,2020-06-18 11:14:42.339443,2020-06-18 11:14:42.339443
56,Charge,Overcharge duration is increased by 3 sec,s4d.png,Annette,2020-06-18 11:14:49.471074,2020-06-18 11:14:49.471074
49,Blasting Ray		,Target takes 25% increased M.DMG for 10 sec,s1l.png,Annette,2020-06-18 11:13:48.863006,2020-06-18 11:13:48.863006
50,Blasting Ray		,Charge amount is boosted by 40% upon use,s1d.png,Annette,2020-06-18 11:13:55.29365,2020-06-18 11:13:55.29365
57,Celestial Arrow,If there is 1 enemy, DMG is increased by 100%,s1l.png,Arch,2020-06-18 11:17:51.298176,2020-06-18 11:17:51.298176
58,Celestial Arrow,Stuns enemies with a Sigil for 1 sec,s1d.png,Arch,2020-06-18 11:18:03.899539,2020-06-18 11:18:03.899539
59,Purifying Blaze,Crit Chance is increased by 40%,s2l.png,Arch,2020-06-18 11:18:20.655801,2020-06-18 11:18:20.655801
60,Purifying Blaze,Cooldown is reduced by 3 sec,s2d.png,Arch,2020-06-18 11:18:27.345229,2020-06-18 11:18:27.345229
61,Arbiter,Inflicts a sigil upon damaged enemies,s3l.png,Arch,2020-06-18 11:18:41.441129,2020-06-18 11:18:41.441129
62,Arbiter,M.DMG increase and Silence effect occur to enemies with no Sigil as well,s3d.png,Arch,2020-06-18 11:18:47.455076,2020-06-18 11:18:47.455076
63,The Last Judgment,For 20 sec after activation, auto attacks target 2 enemies,s4l.png,Arch,2020-06-18 11:19:01.539026,2020-06-18 11:19:01.539026
64,The Last Judgment,Effect occurs 3 sec faster,s4d.png,Arch,2020-06-18 11:19:07.235003,2020-06-18 11:19:07.235003
65,Pillar of Light,DMG is increased by 40%,s1l.png,Artemia,2020-06-18 11:19:25.029118,2020-06-18 11:19:25.029118
66,Pillar of Light,Each hit has a 25% chance to stun the enemy for 1 sec,s1d.png,Artemia,2020-06-18 11:19:34.927945,2020-06-18 11:19:34.927945
67,Critical Intensity,Mana cost reduced by 1,s2l.png,Artemia,2020-06-18 11:19:45.800321,2020-06-18 11:19:45.800321
68,Critical Intensity,When Blessing of Light reaches 10 stacks, cooldown is reduced by 50%,s2d.png,Artemia,2020-06-18 11:19:52.32141,2020-06-18 11:19:52.32141
69,"Light's Judgment",Cooldown is reduced by 3 sec,s3l.png,Artemia,2020-06-18 11:20:30.542151,2020-06-18 11:20:30.542151
70,"Light's Judgment",Mana cost is increased by 1 orb but DMG is boosted by 100%,s3d.png,Artemia,2020-06-18 11:22:33.835317,2020-06-18 11:22:33.835317
71,Blessing of Light,Activation chance is changed to 60%,s4l.png,Artemia,2020-06-18 11:22:44.51718,2020-06-18 11:22:44.51718
72,Blessing of Light,DMG Reduction from Non-Hero enemies is changed to 4%,s4d.png,Artemia,2020-06-18 11:22:50.470047,2020-06-18 11:22:50.470047
73,Sword of the Sun,After activation, increases ATK Spd by 350 for 5 sec,s1l.png,Aselica,2020-06-18 11:23:12.819118,2020-06-18 11:23:12.819118
74,Sword of the Sun,Reduces cooldown by 2 sec,s1d.png,Aselica,2020-06-18 11:23:19.824708,2020-06-18 11:23:19.824708
75,Blessing of the Sun,Increases Mana Cost by 1, and grants the effect to the 2 allies with the highest ATK,s2l.png,Aselica,2020-06-18 11:23:33.047659,2020-06-18 11:23:33.047659
76,Blessing of the Sun,Used while ignoring negative effects on self and removes negative effects on the target ally,s2d.png,Aselica,2020-06-18 11:23:40.130645,2020-06-18 11:23:40.130645
77,Judgment of the Sun,Reduces Mana Cost by 1,s3l.png,Aselica,2020-06-18 11:23:52.6271,2020-06-18 11:23:52.6271
78,Judgment of the Sun,Increases the duration of M.DEF reduction effect by 5 sec,s3d.png,Aselica,2020-06-18 11:24:01.496117,2020-06-18 11:24:01.496117
79,Curse of the Sun,Changes ATK Reduction to 30%,s4l.png,Aselica,2020-06-18 11:24:12.284806,2020-06-18 11:24:12.284806
80,Curse of the Sun,Activates the effect upon reaching the 7th stack of Curse of the Sun,s4d.png,Aselica,2020-06-18 11:24:17.39039,2020-06-18 11:24:17.39039
81,Holy Nova,DMG and Heal rate is increased by 40%,s1l.png,Baudouin,2020-06-18 11:24:36.293396,2020-06-18 11:24:36.293396
82,Holy Nova,Enemies hit are stunned for 1 sec,s1d.png,Baudouin,2020-06-18 11:24:44.703434,2020-06-18 11:24:44.703434
83,Spear of Light,Mana cost is reduced by 1,s2l.png,Baudouin,2020-06-18 11:24:57.308306,2020-06-18 11:24:57.308306
84,Spear of Light,Number of targets changes to 2,s2d.png,Baudouin,2020-06-18 11:25:03.393425,2020-06-18 11:25:03.393425
85,Holy Sanctuary,Mana cost is reduced by 1,s3l.png,Baudouin,2020-06-18 11:25:15.156579,2020-06-18 11:25:15.156579
86,Holy Sanctuary,In exchange for 2 additional Mana Cost and a 3 sec reduction of Invincibility duration, all allies gain 50% ATK,s3d.png,Baudouin,2020-06-18 11:25:21.440632,2020-06-18 11:25:21.440632
87,Training of God,Activation chance is boosted by 10%,s4l.png,Baudouin,2020-06-18 11:25:36.361393,2020-06-18 11:25:36.361393
88,Training of God,Attack range is boosted by 20%,s4d.png,Baudouin,2020-06-18 11:25:43.935811,2020-06-18 11:25:43.935811
89,Circle of Futility,Reduces the initial Cooldown by 3 sec,s1l.png,Bernheim,2020-06-18 11:26:01.903752,2020-06-18 11:26:01.903752
90,Circle of Futility,f [Circle of Futility] is cast while [Battle Initiation] is active, its duration will be increased by 4 sec,s1d.png,Bernheim,2020-06-18 11:26:10.769806,2020-06-18 11:26:10.769806
91,Battle Initiation,Dispels all negative effects from self upon use,s2l.png,Bernheim,2020-06-18 11:26:26.552782,2020-06-18 11:26:26.552782
92,Battle Initiation,The duration of the effect is increased by 8 sec,s2d.png,Bernheim,2020-06-18 11:26:33.123474,2020-06-18 11:26:33.123474
93,Destroyer,"Ignores the target's P.Block and M.Block",s3l.png,Bernheim,2020-06-18 11:26:46.114337,2020-06-18 11:26:46.114337
94,Destroyer,Additional DMG against Non-Hero enemies now ignores DEF,s3d.png,Bernheim,2020-06-18 11:26:53.063739,2020-06-18 11:26:53.063739
95,Breakdown,Breakdown stack becomes irremovable,s4l.png,Bernheim,2020-06-18 11:27:01.948712,2020-06-18 11:27:01.948712
96,Breakdown,ATK and Heal Rate Boost become irremovable,s4d.png,Bernheim,2020-06-18 11:27:10.971479,2020-06-18 11:27:10.971479
97,Tremble! / Kneel,[Tremble!] The effect applies to 3 allies, but all the effects that activate after 3.5 sec will not be activated,s1l.png,Cain,2020-06-18 11:36:47.297382,2020-06-18 11:36:47.297382
98,Tremble! / Kneel,[Kneel] The effect applies to 3 enemies, but all the effects that activate after 5 sec will not be activated,s1d.png,Cain,2020-06-18 11:37:17.708064,2020-06-18 11:37:17.708064
99,Behold My Might,Each stack of [King of the Desert] increases the DMG of this Skill by 30%,s2l.png,Cain,2020-06-18 11:37:35.002136,2020-06-18 11:37:35.002136
100,Behold My Might,Reduces Cooldown by 4 sec, and during Auto Battle, allows Cain to return to God King form after turning into Tyrant form,s2d.png,Cain,2020-06-18 11:37:46.58557,2020-06-18 11:37:46.58557
101,Gaze Upon My Almighty Power! / Now Die,[Gaze Upon My Almighty Power!] Increases the duration of the effect by 10 sec,s3l.png,Cain,2020-06-18 11:38:26.177061,2020-06-18 11:38:26.177061
102,Gaze Upon My Almighty Power! / Now Die,[Now Die.] Reduces mana cost by 1,s3d.png,Cain,2020-06-18 11:38:34.614709,2020-06-18 11:38:34.614709
103,I Am the King of the Desert,DMG Boost against Bosses changes to 100%,s4l.png,Cain,2020-06-18 11:38:44.184512,2020-06-18 11:38:44.184512
104,I Am the King of the Desert,Mana recovery per sec changes to 150,s4d.png,Cain,2020-06-18 11:38:55.082489,2020-06-18 11:38:55.082489
105,Softly~,Healed allies gain a 200 ATK Spd boost for 10 sec,s1l.png,Cassandra,2020-06-18 11:42:47.443863,2020-06-18 11:42:47.443863
106,Softly~,For 5 sec, hit enemies have their Mana reduced by 200 every second,s1d.png,Cassandra,2020-06-18 11:42:54.358741,2020-06-18 11:42:54.358741
107,Fiercely!,ATK boost is increased by 40%,s2l.png,Cassandra,2020-06-18 11:43:07.36228,2020-06-18 11:43:07.36228
108,Fiercely!,Mana cost is reduced by 1,s2d.png,Cassandra,2020-06-18 11:43:13.982262,2020-06-18 11:43:13.982262
109,Tempting Wave,Target takes 25% increased M.DMG for 10 sec,s3l.png,Cassandra,2020-06-18 11:43:26.529782,2020-06-18 11:43:26.529782
110,Tempting Wave,Mana cost is reduced by 1,s3d.png,Cassandra,2020-06-18 11:43:33.949102,2020-06-18 11:43:33.949102
111,Gentle Touch,All DMG upon allies is reduced by 20% for 5 sec,s4l.png,Cassandra,2020-06-18 11:43:44.552536,2020-06-18 11:43:44.552536
112,Gentle Touch,DEF increase effect has its duration increased by 5 sec,s4d.png,Cassandra,2020-06-18 11:43:49.611021,2020-06-18 11:43:49.611021
113,Outta the way! / Crushing Kick! / Tempest Kick!,Increases P.DMG the target takes by 25% for 10 sec,s1l.png,Cecilia,2020-06-18 11:44:20.546718,2020-06-18 11:44:20.546718
114,Outta the way! / Crushing Kick! / Tempest Kick!,Dispels positive effects from the target,s1d.png,Cecilia,2020-06-18 11:44:29.902583,2020-06-18 11:44:29.902583
115,Infinite Potential,Increases DMG to Non-Hero enemies by 20% for the duration of Skill,s2l.png,Cecilia,2020-06-18 11:45:31.844856,2020-06-18 11:45:31.844856
116,Infinite Potential,Takes 20% reduced DMG for the duration of Skill,s2d.png,Cecilia,2020-06-18 11:45:39.106189,2020-06-18 11:45:39.106189
117,WA-TAAAAAH!!! / Special Move. Meteor Kick!!!,Increases DMG by 100% when there is only 1 enemy left,s3l.png,Cecilia,2020-06-18 11:45:56.123411,2020-06-18 11:45:56.123411
118,WA-TAAAAAH!!! / Special Move. Meteor Kick!!!,Gains immunity to CC for the duration of Skill,s3d.png,Cecilia,2020-06-18 11:46:02.90057,2020-06-18 11:46:02.90057
119,Inborn Talent,Takes 15% reduced DMG,s4l.png,Cecilia,2020-06-18 11:46:19.201703,2020-06-18 11:46:19.201703
120,Inborn Talent,Increases DMG to Heroes by 15%,s4d.png,Cecilia,2020-06-18 11:46:30.327028,2020-06-18 11:46:30.327028
121,"I'll Break You!",Reduces Mana Cost by 1,s1l.png,Chase,2020-06-18 11:47:01.543882,2020-06-18 11:47:01.543882
122,"I'll Break You!",The inflicted target takes 25% more P.DMG for 10 seconds,s1d.png,Chase,2020-06-18 12:40:01.201681,2020-06-18 12:40:01.201681
123,Remove Limit,Enemies hit are stunned for 2 sec,s2l.png,Chase,2020-06-18 12:40:15.526409,2020-06-18 12:40:15.526409
124,Remove Limit,HP consumption per sec is increased by 100% and ATK Spd, Crit DMG boost is doubled,s2d.png,Chase,2020-06-18 12:40:23.095656,2020-06-18 12:40:23.095656
125,Burn, Spear of Fury,Gains Immunity to CC while in use,s3l.png,Chase,2020-06-18 12:40:33.861562,2020-06-18 12:40:33.861562
126,Burn, Spear of Fury,Increases the Stun duration by 1 second,s3d.png,Chase,2020-06-18 12:40:45.977372,2020-06-18 12:40:45.977372
127,Remember This in Hell,Upon the activation of resurrection, increases ATK by 50%,s4l.png,Chase,2020-06-18 12:40:53.324978,2020-06-18 12:40:53.324978
128,Remember This in Hell,Upon the activation of resurrection, knocks back nearby enemies in range for 3 seconds,s4d.png,Chase,2020-06-18 12:41:31.801965,2020-06-18 12:41:31.801965
129,Light of Annihilation,Reduces Mana Cost by 1,s1l.png,Chrisha,2020-06-18 12:41:52.419633,2020-06-18 12:41:52.419633
130,Light of Annihilation,Increases Mana Cost by 1 and DMG by 100%,s1d.png,Chrisha,2020-06-18 12:41:58.799164,2020-06-18 12:41:58.799164
131,Enemy Blockade,Reduces Mana Cost by 1,s2l.png,Chrisha,2020-06-18 12:42:10.966866,2020-06-18 12:42:10.966866
132,Enemy Blockade,Increases Silence duration by 1 sec,s2d.png,Chrisha,2020-06-18 12:42:28.819749,2020-06-18 12:42:28.819749
133,Green Zone,Reduces Mana Cost by 1,s3l.png,Chrisha,2020-06-18 12:42:43.281618,2020-06-18 12:42:43.281618
134,Green Zone,Increases Green Zone duration by 1.5 sec,s3d.png,Chrisha,2020-06-18 12:42:49.404895,2020-06-18 12:42:49.404895
135,Technomagic of the Empire,Enhances the effect of Lights on normal attacks. Red Light: Changes Cooldown Reduction to 2 sec. Blue Light: Target takes 60% increased M.DMG. Green Light: Heal Rate Reduction is increased to 40%,s4l.png,Chrisha,2020-06-18 12:42:59.953419,2020-06-18 12:42:59.953419
136,Technomagic of the Empire,Increases the Range of normal attack by 20%,s4d.png,Chrisha,2020-06-18 12:43:06.71224,2020-06-18 12:43:06.71224
137,Cut Ground,Cooldown is reduced by 2 sec,s1l.png,Clause,2020-06-18 12:43:45.53907,2020-06-18 12:43:45.53907
138,Cut Ground,In exchange for 1 additional Mana Cost, the skill has a 100% chance to draw the target in	,s1d.png,Clause,2020-06-18 12:43:51.795984,2020-06-18 12:43:51.795984
139,Shield Strike,Target takes 25% increased P.DMG for 10 sec,s2l.png,Clause,2020-06-18 12:44:06.006088,2020-06-18 12:44:06.006088
140,Shield Strike,Stuns the enemy for 1 sec,s2d.png,Clause,2020-06-18 12:44:11.376035,2020-06-18 12:44:11.376035
141,Guardian Shield,DEF boost is increased by 40%,s3l.png,Clause,2020-06-18 12:44:21.616148,2020-06-18 12:44:21.616148
142,Guardian Shield,Receives 25% reduced P.DMG for the duration,s3d.png,Clause,2020-06-18 12:44:28.637276,2020-06-18 12:44:28.637276
143,Vow of Knights,Casting time is greatly boosted,s4l.png,Clause,2020-06-18 12:44:36.981511,2020-06-18 12:44:36.981511
144,Vow of Knights,Reduce an additional 10% of ATK,s4d.png,Clause,2020-06-18 12:44:42.161802,2020-06-18 12:44:42.161802
145,Fire Needle,"The skill's DMG is reduced by 50% when attacking more than 5 enemies, but all enemies will take damage",s1l.png,Cleo,2020-06-18 12:44:58.600945,2020-06-18 12:44:58.600945
146,Fire Needle,Stuns the target for 1 sec,s1d.png,Cleo,2020-06-18 12:45:07.483172,2020-06-18 12:45:07.483172
147,Fire Ball,Upon hitting an enemy with 10 or more stacks of Ember, increases M.DMG it takes by 40% for 10 seconds,s2l.png,Cleo,2020-06-18 12:45:17.172175,2020-06-18 12:45:17.172175
148,Fire Ball,Inflicts 10 stacks of Ember on the hit enemy,s2d.png,Cleo,2020-06-18 12:45:24.124437,2020-06-18 12:45:24.124437
149,Fire Rain,Increases DMG by 40%,s3l.png,Cleo,2020-06-18 12:45:36.16269,2020-06-18 12:45:36.16269
150,Fire Rain,Reduces Mana Cost by 2 for 10 sec when attacking more than 5 enemies. 10 sec Cooldown is applied,s3d.png,Cleo,2020-06-18 12:45:42.513347,2020-06-18 12:45:42.513347
151,Flame Diffusion,The max number of Ember stacks is changed to 12,s4l.png,Cleo,2020-06-18 12:45:51.810956,2020-06-18 12:45:51.810956
152,Flame Diffusion,Every 10 sec, enemies affected by Ember are stunned for 2 sec. Enemies with more than 10 stacks of Ember are stunned for 3 sec,s4d.png,Cleo,2020-06-18 12:45:57.490455,2020-06-18 12:45:57.490455
153,Target will be Eliminated,Upon each DMG dealt, recovers 30 Mana,s1l.png,Crow,2020-06-18 12:46:20.400834,2020-06-18 12:46:20.400834
154,Target will be Eliminated,Gains immunity to CC while in use,s1d.png,Crow,2020-06-18 12:46:27.704639,2020-06-18 12:46:27.704639
155,Struggle is Meaningless,Cooldown is reduced by 3 sec,s2l.png,Crow,2020-06-18 12:46:38.361654,2020-06-18 12:46:38.361654
156,Struggle is Meaningless,Freezing chance of the Freezing Area increases by 30%,s2d.png,Crow,2020-06-18 12:46:46.285399,2020-06-18 12:46:46.285399
157,Even Gods shall Die,Increases Cooldown by 10 sec and DMG by 100%,s3l.png,Crow,2020-06-18 12:47:00.110392,2020-06-18 12:47:00.110392
158,Even Gods shall Die,Reduces Mana Cost by 1,s3d.png,Crow,2020-06-18 12:47:05.962527,2020-06-18 12:47:05.962527
159,Hunting Preparation,Boss monster takes 15% increased DMG,s4l.png,Crow,2020-06-18 12:47:14.120976,2020-06-18 12:47:14.120976
160,Hunting Preparation,Mana recovery increases by 40%,s4d.png,Crow,2020-06-18 12:47:20.544225,2020-06-18 12:47:20.544225
161,Judgment Upon Them!,Increases Stun duration by 1 sec,s1l.png,Dakaris,2020-06-18 12:47:35.820449,2020-06-18 12:47:35.820449
162,Judgment Upon Them!,Reduces Mana Cost by 1,s1d.png,Dakaris,2020-06-18 12:47:46.563391,2020-06-18 12:47:46.563391
163,Grant Me Strength!,Upon activation, increases own ATK Spd by 500,s2l.png,Dakaris,2020-06-18 12:47:59.091088,2020-06-18 12:47:59.091088
164,Grant Me Strength!,Increases duration of the shield by 5 sec,s2d.png,Dakaris,2020-06-18 12:48:03.599149,2020-06-18 12:48:25.791353
165,May Their Agony End!,Gains CC Immunity for the duration of Skill,s3l.png,Dakaris,2020-06-18 12:48:43.466777,2020-06-18 12:48:43.466777
166,May Their Agony End!,Increases DMG by 40%,s3d.png,Dakaris,2020-06-18 12:48:48.761981,2020-06-18 12:48:48.761981
167,Might of the Ancestors!,Heal Rate is increased by 100%,s4l.png,Dakaris,2020-06-18 12:48:57.730464,2020-06-18 12:48:57.730464
168,Might of the Ancestors!,If own HP is full, recovers 300 Mana every sec,s4d.png,Dakaris,2020-06-18 12:49:03.550686,2020-06-18 12:49:03.550686
169,Judgment Blade,Increases number of Dark Energy stacks required for use by 10 and increases DMG by 80%,s1l.png,Dark Lord Kasel,2020-06-18 12:52:12.114401,2020-06-18 12:52:12.114401
170,Judgment Blade,Increases the duration of disabling Mana recovery by 2 sec,s1d.png,Dark Lord Kasel,2020-06-18 12:52:18.97671,2020-06-18 12:52:18.97671
171,Doom,Increases P.DMG the hit targets take by 30% for 10 sec,s2l.png,Dark Lord Kasel,2020-06-18 12:52:31.931331,2020-06-18 12:52:31.931331
172,Doom,Inflicts Stun on enemies instead of knocking them away,s2d.png,Dark Lord Kasel,2020-06-18 12:52:38.369887,2020-06-18 12:52:38.369887
173,Advent of the Dark Lord,Increases P.Block Chance by 400 for the duration of Skill,s3l.png,Dark Lord Kasel,2020-06-18 12:52:52.328934,2020-06-18 12:52:52.328934
174,Advent of the Dark Lord,Increases DMG of normal attacks by 50% for the duration of Skill,s3d.png,Dark Lord Kasel,2020-06-18 12:52:58.998271,2020-06-18 12:52:58.998271
175,One Fallen to Darkness,At the beginning of each battle, gains 10 stacks of [Dark Energy],s4l.png,Dark Lord Kasel,2020-06-18 12:53:11.126635,2020-06-18 12:53:11.126635
176,One Fallen to Darkness,When there is 1 enemy, gains 2 additional stacks of [Dark Energy],s4d.png,Dark Lord Kasel,2020-06-18 12:53:17.950125,2020-06-18 12:53:17.950125
177,Penetration,In exchange for 1 additional Mana Cost, pull in 2 enemies,s1l.png,Demia,2020-06-18 12:53:36.952032,2020-06-18 12:53:36.952032
