id,name,description,tier,created_at,updated_at,sequence,perk_type
22,Eagle Eye,"Increases all allies DEF Penetration by 150 and ACC by 75. If the ally uses the same Perk, only 50 additional DEF Penetration and 25 additional ACC apply",Archer,2020-06-07 11:37:24.418979,2020-06-16 08:52:04.311621,2,generic
23,Mortal Wound,Successful Crit Attack reduces enemy recovery rate by 50% and deal Physical continuous DMG every second equal to 20% ATK. Does not stack,Archer,2020-06-07 11:37:41.502571,2020-06-16 08:52:17.969289,3,generic
24,Opportune Strike,Crit Chance is increased by 150 and Crit DMG is increased by 30%,Archer,2020-06-07 11:41:05.560693,2020-06-16 08:52:25.520147,4,generic
25,Concentration,"Every 5 sec, increases own Crit DMG by 4%. This effect can be stacked up to max 25 times and is irremovable",Archer,2020-06-07 11:41:17.796651,2020-06-16 08:52:37.550712,5,generic
26,Target Weakness,ATK rises by 20% and DEF Penetration rises by 200,Mechanic,2020-06-07 11:41:39.093107,2020-06-16 08:52:46.534682,1,generic
27,Ready Cannons,Mana recovery per second rises by 62.5% per every enemy,Mechanic,2020-06-07 11:41:54.698973,2020-06-16 08:52:54.897351,2,generic
28,Pressure Point,Crit chance increases by 400,Mechanic,2020-06-07 11:42:08.031019,2020-06-16 08:53:04.190284,3,generic
29,Special Bullet,Attacked target loses 15% of ATK and 150 of Crit. Chance. Does not stack,Mechanic,2020-06-07 11:42:20.697565,2020-06-16 08:54:09.694581,4,generic
30,Amplified Gunpowder,"Increases Crit DMG of all allies by 30%. If the ally uses the same Perk, only 10% additional Crit DMG is applied",Mechanic,2020-06-07 11:42:34.225282,2020-06-16 08:54:53.165758,5,generic
31,Deception,"When receiving DMG, becomes immune to the next 3 hit of DMG. This effect is activated every 40 sec",Wizard,2020-06-07 11:52:09.670729,2020-06-16 08:55:02.11499,1,generic
32,Moral Rise,"Increases ATK of all allies by 15%. If the ally uses the same Perk, only 3% additional ATK applies",Wizard,2020-06-07 11:52:30.424232,2020-06-16 08:55:11.357094,2,generic
33,Blessing of Mana,Mana recovery per second rises by 250%,Wizard,2020-06-07 11:53:05.44302,2020-06-16 08:55:22.335774,3,generic
34,Circuit Burst,Receives 15% more DMG but gains 40% ATK. ACC is increases by 200,Wizard,2020-06-07 11:53:20.615621,2020-06-16 08:55:30.621329,4,generic
35,Destruction,Increases Crit Chance by 200 and DEF Penetration by 200,Wizard,2020-06-07 11:53:37.65328,2020-06-16 08:55:38.164827,5,generic
36,Vengeful Curse,"When hit by an enemy, attacker's DMG is reduced by 70% for 3 sec. This effect only activates once in 40 sec, and cannot be dispelled",Priest,2020-06-07 11:53:58.495904,2020-06-16 08:55:45.160979,1,generic
37,Goddess Blessing,"Increases Crit Chance of all allies by 150. If the ally uses the same Perk, only 50 additional Crit Chance applies",Priest,2020-06-07 11:54:16.469817,2020-06-16 08:55:54.596839,2,generic
38,Inner Peace,"Heal all allies by 1% every sec and increases CC Resist by 75. If the ally uses the same Perk, only 0.3% additional healing per sec and 25 additional CC Resist apply",Priest,2020-06-07 11:54:28.523476,2020-06-16 08:56:03.244158,3,generic
39,Blessing of Mana,Mana recovery per second rises by 250%,Priest,2020-06-07 11:54:40.793177,2020-06-16 08:56:14.802896,4,generic
40,Swiftness,"Increases ATK Spd of all allies by 150. If the ally uses the same Perk, only 50 additional ATK Spd applies",Priest,2020-06-07 11:54:56.931741,2020-06-16 08:56:22.679303,5,generic
41,Mystic Barrage [Light],"If there is 1 enemy, DMG is increased by 100%",Aisha,2020-06-18 10:54:36.477419,2020-06-18 10:54:36.477419,s1l,hero
42,Mystic Barrage [Dark],"Upon a Crit Hit, recovers 300 mana",Aisha,2020-06-18 10:55:52.729408,2020-06-18 10:57:46.013617,s1d,hero
43,Destruction Ray [Light],The mana cost of the Boosted Ray is half,Aisha,2020-06-18 10:58:09.293589,2020-06-18 10:58:09.293589,s2l,hero
44,Destruction Ray [Dark],The mana cost of the Boosted Ray is doubled and the DMG increase is boosted from 100% to 200%,Aisha,2020-06-18 10:58:17.972619,2020-06-18 10:58:17.972619,s2d,hero
45,Torrential Rainfall [Light],Deals AoE DMG,Aisha,2020-06-18 10:58:34.387664,2020-06-18 10:58:34.387664,s3l,hero
46,Torrential Rainfall [Dark],M.DEF reduction effect now stacks up to 10 times max,Aisha,2020-06-18 10:58:40.543934,2020-06-18 10:58:40.543934,s3d,hero
47,Mystic Boost [Light],DMG is increased by 40%,Aisha,2020-06-18 10:58:59.377549,2020-06-18 10:58:59.377549,s4l,hero
48,Mystic Boost [Dark],Ignores enemy Block,Aisha,2020-06-18 10:59:08.002274,2020-06-18 10:59:08.002274,s4d,hero
49,Blasting Ray [Light],Target takes 25% increased M.DMG for 10 sec,Annette,2020-06-18 11:13:48.863006,2020-06-18 11:13:48.863006,s1l,hero
50,Blasting Ray [Dark],Charge amount is boosted by 40% upon use,Annette,2020-06-18 11:13:55.29365,2020-06-18 11:13:55.29365,s1d,hero
51,Emergency Treatment [Light],Cooldown is reduced by 3 sec,Annette,2020-06-18 11:14:05.648038,2020-06-18 11:14:05.648038,s2l,hero
52,Emergency Treatment [Dark],Charge amount is boosted by 40% upon use,Annette,2020-06-18 11:14:12.519142,2020-06-18 11:14:12.519142,s2d,hero
53,Process of Elimination [Light],DMG is increased by 40%,Annette,2020-06-18 11:14:24.801038,2020-06-18 11:14:24.801038,s3l,hero
54,Process of Elimination [Dark],Target takes 25% increased M.DMG,Annette,2020-06-18 11:14:31.930498,2020-06-18 11:14:31.930498,s3d,hero
55,Charge [Light],ATK boost is increased by 40%,Annette,2020-06-18 11:14:42.339443,2020-06-18 11:14:42.339443,s4l,hero
56,Charge [Dark],Overcharge duration is increased by 3 sec,Annette,2020-06-18 11:14:49.471074,2020-06-18 11:14:49.471074,s4d,hero
57,Celestial Arrow [Light],"If there is 1 enemy, DMG is increased by 100%",Arch,2020-06-18 11:17:51.298176,2020-06-18 11:17:51.298176,s1l,hero
58,Celestial Arrow [Dark],Stuns enemies with a Sigil for 1 sec,Arch,2020-06-18 11:18:03.899539,2020-06-18 11:18:03.899539,s1d,hero
59,Purifying Blaze [Light],Crit Chance is increased by 40%,Arch,2020-06-18 11:18:20.655801,2020-06-18 11:18:20.655801,s2l,hero
60,Purifying Blaze [Dark],Cooldown is reduced by 3 sec,Arch,2020-06-18 11:18:27.345229,2020-06-18 11:18:27.345229,s2d,hero
61,Arbiter [Light],Inflicts a sigil upon damaged enemies,Arch,2020-06-18 11:18:41.441129,2020-06-18 11:18:41.441129,s3l,hero
62,Arbiter [Dark],M.DMG increase and Silence effect occur to enemies with no Sigil as well,Arch,2020-06-18 11:18:47.455076,2020-06-18 11:18:47.455076,s3d,hero
63,The Last Judgment [Light],"For 20 sec after activation, auto attacks target 2 enemies",Arch,2020-06-18 11:19:01.539026,2020-06-18 11:19:01.539026,s4l,hero
64,The Last Judgment [Dark],Effect occurs 3 sec faster,Arch,2020-06-18 11:19:07.235003,2020-06-18 11:19:07.235003,s4d,hero
65,Pillar of Light [Light],DMG is increased by 40%,Artemia,2020-06-18 11:19:25.029118,2020-06-18 11:19:25.029118,s1l,hero
66,Pillar of Light [Dark],Each hit has a 25% chance to stun the enemy for 1 sec,Artemia,2020-06-18 11:19:34.927945,2020-06-18 11:19:34.927945,s1d,hero
67,Critical Intensity [Light],Mana cost reduced by 1,Artemia,2020-06-18 11:19:45.800321,2020-06-18 11:19:45.800321,s2l,hero
68,Critical Intensity [Dark],"When Blessing of Light reaches 10 stacks, cooldown is reduced by 50%",Artemia,2020-06-18 11:19:52.32141,2020-06-18 11:19:52.32141,s2d,hero
69,Light's Judgment [Light],Cooldown is reduced by 3 sec,Artemia,2020-06-18 11:20:30.542151,2020-06-18 11:20:30.542151,s3l,hero
70,Light's Judgment [Dark],Mana cost is increased by 1 orb but DMG is boosted by 100%,Artemia,2020-06-18 11:22:33.835317,2020-06-18 11:22:33.835317,s3d,hero
71,Blessing of Light [Light],Increases DMG dealt to Non-Hero enemies by an additional 2.5%.,Artemia,2020-06-18 11:22:44.51718,2020-06-18 11:22:44.51718,s4l,hero
72,Blessing of Light [Dark],Changes DMG Reduction from Non-Hero enemies to DMG Reduction from all enemies.,Artemia,2020-06-18 11:22:50.470047,2020-06-18 11:22:50.470047,s4d,hero
73,Sword of the Sun [Light],"After activation, increases ATK Spd by 350 for 5 sec",Aselica,2020-06-18 11:23:12.819118,2020-06-18 11:23:12.819118,s1l,hero
74,Sword of the Sun [Dark],Reduces cooldown by 2 sec,Aselica,2020-06-18 11:23:19.824708,2020-06-18 11:23:19.824708,s1d,hero
75,Blessing of the Sun [Light],"Increases Mana Cost by 1, and grants the effect to the 2 allies with the highest ATK",Aselica,2020-06-18 11:23:33.047659,2020-06-18 11:23:33.047659,s2l,hero
76,Blessing of the Sun [Dark],Used while ignoring negative effects on self and removes negative effects on the target ally,Aselica,2020-06-18 11:23:40.130645,2020-06-18 11:23:40.130645,s2d,hero
77,Judgment of the Sun [Light],Reduces Mana Cost by 1,Aselica,2020-06-18 11:23:52.6271,2020-06-18 11:23:52.6271,s3l,hero
78,Judgment of the Sun [Dark],Increases the duration of M.DEF reduction effect by 5 sec,Aselica,2020-06-18 11:24:01.496117,2020-06-18 11:24:01.496117,s3d,hero
79,Curse of the Sun [Light],Changes ATK Reduction to 30%,Aselica,2020-06-18 11:24:12.284806,2020-06-18 11:24:12.284806,s4l,hero
80,Curse of the Sun [Dark],Activates the effect upon reaching the 7th stack of Curse of the Sun,Aselica,2020-06-18 11:24:17.39039,2020-06-18 11:24:17.39039,s4d,hero
81,Holy Nova [Light],DMG and Heal rate is increased by 40%,Baudouin,2020-06-18 11:24:36.293396,2020-06-18 11:24:36.293396,s1l,hero
82,Holy Nova [Dark],Enemies hit are stunned for 1 sec,Baudouin,2020-06-18 11:24:44.703434,2020-06-18 11:24:44.703434,s1d,hero
83,Spear of Light [Light],Mana cost is reduced by 1,Baudouin,2020-06-18 11:24:57.308306,2020-06-18 11:24:57.308306,s2l,hero
84,Spear of Light [Dark],Number of targets changes to 2,Baudouin,2020-06-18 11:25:03.393425,2020-06-18 11:25:03.393425,s2d,hero
85,Holy Sanctuary [Light],Mana cost is reduced by 1,Baudouin,2020-06-18 11:25:15.156579,2020-06-18 11:25:15.156579,s3l,hero
86,Holy Sanctuary [Dark],"In exchange for 2 additional Mana Cost and a 3 sec reduction of Invincibility duration, all allies gain 50% ATK",Baudouin,2020-06-18 11:25:21.440632,2020-06-18 11:25:21.440632,s3d,hero
87,Training of God [Light],Activation chance is boosted by 10%,Baudouin,2020-06-18 11:25:36.361393,2020-06-18 11:25:36.361393,s4l,hero
88,Training of God [Dark],Attack range is boosted by 20%,Baudouin,2020-06-18 11:25:43.935811,2020-06-18 11:25:43.935811,s4d,hero
89,Circle of Futility [Light],Reduces the initial Cooldown by 3 sec,Bernheim,2020-06-18 11:26:01.903752,2020-06-18 11:26:01.903752,s1l,hero
90,Circle of Futility [Dark],"f [Circle of Futility] is cast while [Battle Initiation] is active, its duration will be increased by 4 sec",Bernheim,2020-06-18 11:26:10.769806,2020-06-18 11:26:10.769806,s1d,hero
91,Battle Initiation [Light],Dispels all negative effects from self upon use,Bernheim,2020-06-18 11:26:26.552782,2020-06-18 11:26:26.552782,s2l,hero
92,Battle Initiation [Dark],The duration of the effect is increased by 8 sec,Bernheim,2020-06-18 11:26:33.123474,2020-06-18 11:26:33.123474,s2d,hero
93,Destroyer [Light],Ignores the target's P.Block and M.Block,Bernheim,2020-06-18 11:26:46.114337,2020-06-18 11:26:46.114337,s3l,hero
94,Destroyer [Dark],Additional DMG against Non-Hero enemies now ignores DEF,Bernheim,2020-06-18 11:26:53.063739,2020-06-18 11:26:53.063739,s3d,hero
95,Breakdown [Light],Breakdown stack becomes irremovable,Bernheim,2020-06-18 11:27:01.948712,2020-06-18 11:27:01.948712,s4l,hero
96,Breakdown [Dark],ATK and Heal Rate Boost become irremovable,Bernheim,2020-06-18 11:27:10.971479,2020-06-18 11:27:10.971479,s4d,hero
97,Tremble! / Kneel [Light],"[Tremble!] The effect applies to 3 allies, but all the effects that activate after 3.5 sec will not be activated",Cain,2020-06-18 11:36:47.297382,2020-06-18 11:36:47.297382,s1l,hero
98,Tremble! / Kneel [Dark],"[Kneel] The effect applies to 3 enemies, but all the effects that activate after 5 sec will not be activated",Cain,2020-06-18 11:37:17.708064,2020-06-18 11:37:17.708064,s1d,hero
99,Behold My Might [Light],Each stack of [King of the Desert] increases the DMG of this Skill by 30%,Cain,2020-06-18 11:37:35.002136,2020-06-18 11:37:35.002136,s2l,hero
100,Behold My Might [Dark],"Reduces Cooldown by 4 sec, and during Auto Battle, allows Cain to return to God King form after turning into Tyrant form",Cain,2020-06-18 11:37:46.58557,2020-06-18 11:37:46.58557,s2d,hero
101,Gaze Upon My Almighty Power! / Now Die [Light],[Gaze Upon My Almighty Power!] Increases the duration of the effect by 10 sec,Cain,2020-06-18 11:38:26.177061,2020-06-18 11:38:26.177061,s3l,hero
102,Gaze Upon My Almighty Power! / Now Die [Dark],[Now Die.] Reduces mana cost by 1,Cain,2020-06-18 11:38:34.614709,2020-06-18 11:38:34.614709,s3d,hero
103,I Am the King of the Desert [Light],DMG Boost against Bosses changes to 100%,Cain,2020-06-18 11:38:44.184512,2020-06-18 11:38:44.184512,s4l,hero
104,I Am the King of the Desert [Dark],Mana recovery per sec changes to 150,Cain,2020-06-18 11:38:55.082489,2020-06-18 11:38:55.082489,s4d,hero
105,Softly~ [Light],Healed allies gain a 200 ATK Spd boost for 10 sec,Cassandra,2020-06-18 11:42:47.443863,2020-06-18 11:42:47.443863,s1l,hero
106,Softly~ [Dark],"For 5 sec, hit enemies have their Mana reduced by 200 every second",Cassandra,2020-06-18 11:42:54.358741,2020-06-18 11:42:54.358741,s1d,hero
107,Fiercely! [Light],ATK boost is increased by 40%,Cassandra,2020-06-18 11:43:07.36228,2020-06-18 11:43:07.36228,s2l,hero
108,Fiercely! [Dark],Mana cost is reduced by 1,Cassandra,2020-06-18 11:43:13.982262,2020-06-18 11:43:13.982262,s2d,hero
109,Tempting Wave [Light],Target takes 25% increased M.DMG for 10 sec,Cassandra,2020-06-18 11:43:26.529782,2020-06-18 11:43:26.529782,s3l,hero
110,Tempting Wave [Dark],Mana cost is reduced by 1,Cassandra,2020-06-18 11:43:33.949102,2020-06-18 11:43:33.949102,s3d,hero
111,Gentle Touch [Light],All DMG upon allies is reduced by 20% for 5 sec,Cassandra,2020-06-18 11:43:44.552536,2020-06-18 11:43:44.552536,s4l,hero
112,Gentle Touch [Dark],DEF increase effect has its duration increased by 5 sec,Cassandra,2020-06-18 11:43:49.611021,2020-06-18 11:43:49.611021,s4d,hero
113,Outta the way! / Crushing Kick! / Tempest Kick! [Light],Increases P.DMG the target takes by 25% for 10 sec,Cecilia,2020-06-18 11:44:20.546718,2020-06-18 11:44:20.546718,s1l,hero
114,Outta the way! / Crushing Kick! / Tempest Kick! [Dark],Dispels positive effects from the target,Cecilia,2020-06-18 11:44:29.902583,2020-06-18 11:44:29.902583,s1d,hero
115,Infinite Potential [Light],Increases DMG to Non-Hero enemies by 20% for the duration of Skill,Cecilia,2020-06-18 11:45:31.844856,2020-06-18 11:45:31.844856,s2l,hero
116,Infinite Potential [Dark],Takes 20% reduced DMG for the duration of Skill,Cecilia,2020-06-18 11:45:39.106189,2020-06-18 11:45:39.106189,s2d,hero
117,WA-TAAAAAH!!! / Special Move. Meteor Kick!!! [Light],Increases DMG by 100% when there is only 1 enemy left,Cecilia,2020-06-18 11:45:56.123411,2020-06-18 11:45:56.123411,s3l,hero
118,WA-TAAAAAH!!! / Special Move. Meteor Kick!!! [Dark],Gains immunity to CC for the duration of Skill,Cecilia,2020-06-18 11:46:02.90057,2020-06-18 11:46:02.90057,s3d,hero
119,Inborn Talent [Light],Takes 15% reduced DMG,Cecilia,2020-06-18 11:46:19.201703,2020-06-18 11:46:19.201703,s4l,hero
120,Inborn Talent [Dark],Increases DMG to Heroes by 15%,Cecilia,2020-06-18 11:46:30.327028,2020-06-18 11:46:30.327028,s4d,hero
121,I'll Break You! [Light],Reduces Mana Cost by 1,Chase,2020-06-18 11:47:01.543882,2020-06-18 11:47:01.543882,s1l,hero
122,I'll Break You! [Dark],The inflicted target takes 25% more P.DMG for 10 seconds,Chase,2020-06-18 12:40:01.201681,2020-06-18 12:40:01.201681,s1d,hero
123,Remove Limit [Light],Enemies hit are stunned for 2 sec,Chase,2020-06-18 12:40:15.526409,2020-06-18 12:40:15.526409,s2l,hero
124,Remove Limit [Dark],"Wherever HP drops by 1% for the duration of Skill, increases Heal Rate by 0.4% and reduces All DMG taken by 0.4%.",Chase,2020-06-18 12:40:23.095656,2020-06-18 12:40:23.095656,s2d,hero
125,"Burn, Spear of Fury [Light]",Increases Mana Cost by 1 and Heal Rate by 100%.,Chase,2020-06-18 12:40:33.861562,2020-06-18 12:40:33.861562,s3l,hero
126,"Burn, Spear of Fury [Dark]","Upon use, dispels negative effects from self.",Chase,2020-06-18 12:40:45.977372,2020-06-18 12:40:45.977372,s3d,hero
127,Remember This in Hell [Light],"Upon the activation of resurrection, increases ATK by 50%",Chase,2020-06-18 12:40:53.324978,2020-06-18 12:40:53.324978,s4l,hero
128,Remember This in Hell [Dark],"Upon the activation of resurrection, knocks back nearby enemies in range for 3 seconds",Chase,2020-06-18 12:41:31.801965,2020-06-18 12:41:31.801965,s4d,hero
129,Light of Annihilation [Light],Reduces Mana Cost by 1,Chrisha,2020-06-18 12:41:52.419633,2020-06-18 12:41:52.419633,s1l,hero
130,Light of Annihilation [Dark],Increases Mana Cost by 1 and DMG by 100%,Chrisha,2020-06-18 12:41:58.799164,2020-06-18 12:41:58.799164,s1d,hero
131,Enemy Blockade [Light],Reduces Mana Cost by 1,Chrisha,2020-06-18 12:42:10.966866,2020-06-18 12:42:10.966866,s2l,hero
132,Enemy Blockade [Dark],Increases Silence duration by 1 sec,Chrisha,2020-06-18 12:42:28.819749,2020-06-18 12:42:28.819749,s2d,hero
133,Green Zone [Light],Reduces Mana Cost by 1,Chrisha,2020-06-18 12:42:43.281618,2020-06-18 12:42:43.281618,s3l,hero
134,Green Zone [Dark],Increases Green Zone duration by 1.5 sec,Chrisha,2020-06-18 12:42:49.404895,2020-06-18 12:42:49.404895,s3d,hero
135,Technomagic of the Empire [Light],Enhances the effect of Lights on normal attacks. Red Light: Changes Cooldown Reduction to 2 sec. Blue Light: Target takes 60% increased M.DMG. Green Light: Heal Rate Reduction is increased to 40%,Chrisha,2020-06-18 12:42:59.953419,2020-06-18 12:42:59.953419,s4l,hero
136,Technomagic of the Empire [Dark],Increases the Range of normal attack by 20%,Chrisha,2020-06-18 12:43:06.71224,2020-06-18 12:43:06.71224,s4d,hero
137,Cut Ground [Light],Cooldown is reduced by 2 sec,Clause,2020-06-18 12:43:45.53907,2020-06-18 12:43:45.53907,s1l,hero
138,Cut Ground [Dark],"In exchange for 1 additional Mana Cost, the skill has a 100% chance to draw the target in",Clause,2020-06-18 12:43:51.795984,2020-06-18 12:43:51.795984,s1d,hero
139,Shield Strike [Light],Target takes 25% increased P.DMG for 10 sec,Clause,2020-06-18 12:44:06.006088,2020-06-18 12:44:06.006088,s2l,hero
140,Shield Strike [Dark],Stuns the enemy for 1 sec,Clause,2020-06-18 12:44:11.376035,2020-06-18 12:44:11.376035,s2d,hero
141,Guardian Shield [Light],DEF boost is increased by 40%,Clause,2020-06-18 12:44:21.616148,2020-06-18 12:44:21.616148,s3l,hero
142,Guardian Shield [Dark],Receives 25% reduced P.DMG for the duration,Clause,2020-06-18 12:44:28.637276,2020-06-18 12:44:28.637276,s3d,hero
143,Vow of Knights [Light],Casting time is greatly boosted,Clause,2020-06-18 12:44:36.981511,2020-06-18 12:44:36.981511,s4l,hero
144,Vow of Knights [Dark],Reduce an additional 10% of ATK,Clause,2020-06-18 12:44:42.161802,2020-06-18 12:44:42.161802,s4d,hero
145,Fire Needle [Light],"The skill's DMG is reduced by 50% when attacking more than 5 enemies, but all enemies will take damage",Cleo,2020-06-18 12:44:58.600945,2020-06-18 12:44:58.600945,s1l,hero
146,Fire Needle [Dark],Stuns the target for 1 sec,Cleo,2020-06-18 12:45:07.483172,2020-06-18 12:45:07.483172,s1d,hero
147,Fire Ball [Light],"Upon hitting an enemy with 10 or more stacks of Ember, increases M.DMG it takes by 40% for 10 seconds",Cleo,2020-06-18 12:45:17.172175,2020-06-18 12:45:17.172175,s2l,hero
148,Fire Ball [Dark],Inflicts 10 stacks of Ember on the hit enemy,Cleo,2020-06-18 12:45:24.124437,2020-06-18 12:45:24.124437,s2d,hero
149,Fire Rain [Light],Increases DMG by 40%,Cleo,2020-06-18 12:45:36.16269,2020-06-18 12:45:36.16269,s3l,hero
150,Fire Rain [Dark],Reduces Mana Cost by 2 for 10 sec when attacking more than 5 enemies. 10 sec Cooldown is applied,Cleo,2020-06-18 12:45:42.513347,2020-06-18 12:45:42.513347,s3d,hero
151,Flame Diffusion [Light],The max number of Ember stacks is changed to 12,Cleo,2020-06-18 12:45:51.810956,2020-06-18 12:45:51.810956,s4l,hero
152,Flame Diffusion [Dark],"Every 10 sec, enemies affected by Ember are stunned for 2 sec. Enemies with more than 10 stacks of Ember are stunned for 3 sec",Cleo,2020-06-18 12:45:57.490455,2020-06-18 12:45:57.490455,s4d,hero
153,Target will be Eliminated [Light],"Upon each DMG dealt, recovers 30 Mana",Crow,2020-06-18 12:46:20.400834,2020-06-18 12:46:20.400834,s1l,hero
154,Target will be Eliminated [Dark],Gains immunity to CC while in use,Crow,2020-06-18 12:46:27.704639,2020-06-18 12:46:27.704639,s1d,hero
155,Struggle is Meaningless [Light],Cooldown is reduced by 3 sec,Crow,2020-06-18 12:46:38.361654,2020-06-18 12:46:38.361654,s2l,hero
156,Struggle is Meaningless [Dark],Freezing chance of the Freezing Area increases by 30%,Crow,2020-06-18 12:46:46.285399,2020-06-18 12:46:46.285399,s2d,hero
157,Even Gods shall Die [Light],Increases Cooldown by 10 sec and DMG by 100%,Crow,2020-06-18 12:47:00.110392,2020-06-18 12:47:00.110392,s3l,hero
158,Even Gods shall Die [Dark],Reduces Mana Cost by 1,Crow,2020-06-18 12:47:05.962527,2020-06-18 12:47:05.962527,s3d,hero
159,Hunting Preparation [Light],Boss monster takes 15% increased DMG,Crow,2020-06-18 12:47:14.120976,2020-06-18 12:47:14.120976,s4l,hero
160,Hunting Preparation [Dark],Mana recovery increases by 40%,Crow,2020-06-18 12:47:20.544225,2020-06-18 12:47:20.544225,s4d,hero
161,Judgment Upon Them! [Light],Increases Stun duration by 1 sec,Dakaris,2020-06-18 12:47:35.820449,2020-06-18 12:47:35.820449,s1l,hero
162,Judgment Upon Them! [Dark],Reduces Mana Cost by 1,Dakaris,2020-06-18 12:47:46.563391,2020-06-18 12:47:46.563391,s1d,hero
163,Grant Me Strength! [Light],"Upon activation, increases own ATK Spd by 500",Dakaris,2020-06-18 12:47:59.091088,2020-06-18 12:47:59.091088,s2l,hero
164,Grant Me Strength! [Dark],Increases duration of the shield by 5 sec,Dakaris,2020-06-18 12:48:03.599149,2020-06-18 12:48:25.791353,s2d,hero
165,May Their Agony End! [Light],Gains CC Immunity for the duration of Skill,Dakaris,2020-06-18 12:48:43.466777,2020-06-18 12:48:43.466777,s3l,hero
166,May Their Agony End! [Dark],Increases DMG by 40%,Dakaris,2020-06-18 12:48:48.761981,2020-06-18 12:48:48.761981,s3d,hero
167,Might of the Ancestors! [Light],Heal Rate is increased by 100%,Dakaris,2020-06-18 12:48:57.730464,2020-06-18 12:48:57.730464,s4l,hero
168,Might of the Ancestors! [Dark],"If own HP is full, recovers 300 Mana every sec",Dakaris,2020-06-18 12:49:03.550686,2020-06-18 12:49:03.550686,s4d,hero
169,Judgment Blade [Light],Increases number of Dark Energy stacks required for use by 10 and increases DMG by 80%,Dark Lord Kasel,2020-06-18 12:52:12.114401,2020-06-18 12:52:12.114401,s1l,hero
170,Judgment Blade [Dark],Increases the duration of disabling Mana recovery by 2 sec,Dark Lord Kasel,2020-06-18 12:52:18.97671,2020-06-18 12:52:18.97671,s1d,hero
171,Doom [Light],Increases P.DMG the hit targets take by 30% for 10 sec,Dark Lord Kasel,2020-06-18 12:52:31.931331,2020-06-18 12:52:31.931331,s2l,hero
172,Doom [Dark],Inflicts Stun on enemies instead of knocking them away,Dark Lord Kasel,2020-06-18 12:52:38.369887,2020-06-18 12:52:38.369887,s2d,hero
